sample,model,pmid,e.cum,ct,prediction_ecum,running_time
6,12,186,11.083,165.85,13.75786,6.5847116827964784
6,12,194,5.2773,164.5,23.323254,6.5847116827964784
6,12,197,15.272,172.05,12.917672,6.5847116827964784
6,12,928,8.0277,144.83,3.268295,6.5847116827964784
6,12,930,8.4867,143.83,14.827335,6.5847116827964784
6,12,933,20.871,143.4,9.5058,6.5847116827964784
6,12,939,15.177,143.5,9.488214,6.5847116827964784
6,12,941,11.429,141.92,9.551764,6.5847116827964784
6,12,946,10.915,147.33,13.582378,6.5847116827964784
6,12,947,2.8849,145.17,6.3808546,6.5847116827964784
6,12,950,22.015,148.58,13.536642,6.5847116827964784
6,12,963,16.102,148.42,13.184989,6.5847116827964784
6,12,970,13.869,144.6,10.621811,6.5847116827964784
6,12,1118,42.729,168.5,28.518589,6.5847116827964784
6,12,1148,17.308,168.03,15.97306,6.5847116827964784
6,12,1159,3.6862,174.35,8.559855,6.5847116827964784
6,12,1198,5.3561,146.88,3.8841047,6.5847116827964784
6,12,1201,8.7937,146.65,4.887579,6.5847116827964784
6,12,1210,23.068,165.02,17.908514,6.5847116827964784
6,12,1214,11.92,167.78,15.9307575,6.5847116827964784
6,12,1238,10.215,138.37,9.950595,6.5847116827964784
6,12,1239,11.817,138.37,9.950595,6.5847116827964784
6,12,1243,6.8146,142.1,6.159081,6.5847116827964784
6,12,1448,21.458,141.48,12.621189,6.5847116827964784
6,12,1457,1.3532,26.2,5.521906,6.5847116827964784
6,12,1470,6.7436,51.167,5.5047116,6.5847116827964784
6,12,1472,4.794,49.383,3.9942303,6.5847116827964784
6,12,1485,15.536,47.017,13.285538,6.5847116827964784
6,12,1493,8.6729,68.267,6.298299,6.5847116827964784
6,12,1527,4.25499,170.0,18.27658,6.5847116827964784
6,12,1533,0.0962,94.017,3.384647,6.5847116827964784
6,12,1690,30.928,167.94,41.574097,6.5847116827964784
6,12,1696,18.154,168.22,22.492157,6.5847116827964784
6,12,1714,9.0002,24.05,9.960891,6.5847116827964784
6,12,1738,10.605,168.16,11.530566,6.5847116827964784
6,12,1740,13.191,168.08,13.811134,6.5847116827964784
6,12,1936,35.0801457484573,175.53,22.776726,6.5847116827964784
6,12,2236,68.30640499255,123.92,35.438614,6.5847116827964784
6,12,2446,0.088439,143.7,4.9504657,6.5847116827964784
6,12,2447,37.677,170.9,21.551048,6.5847116827964784
6,12,2456,11.333,117.7,7.89286,6.5847116827964784
6,12,2538,18.403,96.283,48.744865,6.5847116827964784
6,12,2558,30.508,96.283,38.29618,6.5847116827964784
6,12,2577,24.085,67.683,43.254375,6.5847116827964784
6,12,2789,5.7412,95.083,6.535311,6.5847116827964784
6,12,2792,5.9582,48.083,5.186874,6.5847116827964784
6,12,2800,3.1987,45.75,3.8237271,6.5847116827964784
6,12,2801,10.123,48.367,6.4617004,6.5847116827964784
6,12,2831,8.0472,58.133,17.333046,6.5847116827964784
6,12,2842,3.8303,97.75,10.521272,6.5847116827964784
6,12,2851,11.13,46.317,27.030128,6.5847116827964784
6,12,2857,8.4516,95.85,6.4882503,6.5847116827964784
6,12,2858,10.013,55.217,8.868363,6.5847116827964784
6,12,3127,52.53,94.2,73.20153,6.5847116827964784
6,12,3160,24.658,93.0,22.42659,6.5847116827964784
6,12,3164,99.879,96.1,78.43889,6.5847116827964784
6,12,3172,53.941,95.617,66.92626,6.5847116827964784
6,12,3179,30.206,96.967,27.18463,6.5847116827964784
6,12,3191,1.4898,95.7,2.3922,6.5847116827964784
6,12,3198,21.35,94.9,18.992245,6.5847116827964784
6,12,3206,7.2645,93.8,8.0112,6.5847116827964784
6,12,3213,10.591,95.4,16.082926,6.5847116827964784
6,12,3225,22.904,94.7,9.586107,6.5847116827964784
6,12,3234,25.824,95.7,30.190334,6.5847116827964784
6,12,3236,30.503,94.9,10.61019,6.5847116827964784
6,12,3257,5.8855,96.1,9.082134,6.5847116827964784
6,12,3286,2.8092,72.0,4.179216,6.5847116827964784
6,12,3290,0.65132,95.667,2.787892,6.5847116827964784
6,12,3298,15.936,96.317,3.7639558,6.5847116827964784
6,12,3323,0.8897,98.65,1.6372569,6.5847116827964784
6,12,3337,4.9595,96.35,2.565298,6.5847116827964784
6,12,3355,2.2794,96.567,5.7670035,6.5847116827964784
6,12,3357,0.82626,92.933,2.2661486,6.5847116827964784
6,12,3360,16.928,95.367,16.933208,6.5847116827964784
