sample,model,pmid,e.cum,delta_e.cum,ct,dt,air.temp,wind.2m,rain.rate,prediction_ecum,prediction_delta_ecum,running_time
0,16,195,8.6395,8.6395,4.7,4.7,11.82,7.47,0.0,,9.888664,14.646153887112936
0,16,195,12.389,3.7495,23.4,18.7,8.68,6.75,0.0,,3.6976657,14.646153887112936
0,16,195,14.392,2.003,44.4,21.0,10.97,5.91,0.0,,1.8717318,14.646153887112936
0,16,195,15.882,1.49,94.9,50.5,12.48,5.52,0.091089,,1.044238,14.646153887112936
0,16,195,18.5,2.618,162.9,68.0,13.03,5.91,0.041176,,0.8311158,14.646153887112936
0,16,196,1.868,1.868,4.5,4.5,11.82,7.47,0.0,,4.966411,14.646153887112936
0,16,196,2.3637,0.4957,23.35,18.85,8.68,6.75,0.0,,3.1720958,14.646153887112936
0,16,196,3.2037,0.84,44.35,21.0,10.97,5.91,0.0,,2.3604822,14.646153887112936
0,16,196,4.0572,0.8535,94.85,50.5,12.48,5.52,0.091089,,2.2129326,14.646153887112936
0,16,196,4.5944,0.5372,162.85,68.0,13.03,5.91,0.041176,,1.2973778,14.646153887112936
0,16,200,0.22185,0.22185,2.25,2.25,3.6,2.5,0.0,,1.2031786,14.646153887112936
0,16,200,2.4662,2.24435,4.8333,2.5833,3.3,2.9,0.0,,-0.06876614,14.646153887112936
0,16,200,3.8748,1.4086,20.75,15.9167,-1.9,1.9,0.0,,1.1424658,14.646153887112936
0,16,200,4.3997,0.5249,94.667,73.917,-1.6,3.7,0.082525,,7.5417304,14.646153887112936
0,16,200,5.1117,0.712,165.17,70.503,0.3,3.0,0.22837,,2.0598679,14.646153887112936
0,16,927,4.408,4.408,1.0,1.0,16.3,8.1827,0.2,,4.0617766,14.646153887112936
0,16,927,7.924,3.516,3.0,2.0,16.3,8.1317,0.0,,2.0028474,14.646153887112936
0,16,927,8.104,0.179999999999999,6.0,3.0,16.3,7.2134,0.0,,0.524602,14.646153887112936
0,16,927,8.5615,0.457500000000001,24.25,18.25,17.6,3.6832,0.10929,,2.7948372,14.646153887112936
0,16,927,9.655,1.0935,48.583,24.333,17.3,5.4994,0.0,,1.0242662,14.646153887112936
0,16,927,10.139,0.484,92.583,44.0,13.5,3.7343,0.12727,,1.0554917,14.646153887112936
0,16,927,8.904,-1.235,142.0,49.417,17.9,4.4893,0.0,,1.3646654,14.646153887112936
0,16,940,5.108,5.108,1.0,1.0,16.3,8.1827,0.2,,4.0617766,14.646153887112936
0,16,940,7.052,1.944,3.0,2.0,16.3,8.1317,0.0,,2.0028474,14.646153887112936
0,16,940,7.658,0.606000000000001,6.0,3.0,16.3,7.2134,0.0,,0.524602,14.646153887112936
0,16,940,8.118,0.46,24.383,18.383,17.6,3.6832,0.1087,,2.8119745,14.646153887112936
0,16,940,8.847,0.728999999999999,48.717,24.334,17.3,5.4994,0.0,,1.0123968,14.646153887112936
0,16,940,8.1526,-0.6944,92.133,43.416,13.5,3.7343,0.12903,,1.0566813,14.646153887112936
0,16,940,9.5498,1.3972,142.05,49.917,17.9,4.4893,0.0,,1.3513408,14.646153887112936
0,16,957,0.85,0.85,1.0833,1.0833,14.0,16.1,2.4,,1.3846238,14.646153887112936
0,16,957,2.354,1.504,3.0833,2.0,14.0,15.814,0.0,,0.81545204,14.646153887112936
0,16,957,3.434,1.08,6.0833,3.0,14.0,16.784,0.0,,0.8432713,14.646153887112936
0,16,957,4.64,1.206,24.083,17.9997,14.0,5.6014,0.0,,0.8908278,14.646153887112936
0,16,957,6.272,1.632,48.5,24.417,16.0,14.141,0.0,,0.9327863,14.646153887112936
0,16,957,8.0,1.728,98.917,50.417,17.0,28.374,0.045833,,1.3510035,14.646153887112936
0,16,957,8.5604,0.5604,145.42,46.503,13.5,21.457,0.025696,,0.29724517,14.646153887112936
0,16,958,2.208,2.208,1.0833,1.0833,10.0,5.1014,0.0,,1.2769864,14.646153887112936
0,16,958,3.73,1.522,3.0833,2.0,10.0,5.1014,0.0,,1.6805407,14.646153887112936
0,16,958,5.221,1.491,6.0833,3.0,10.0,5.1014,0.0,,1.5259441,14.646153887112936
0,16,958,6.481,1.26,24.083,17.9997,9.3,5.3871,0.47778,,2.0123823,14.646153887112936
0,16,958,6.3076,-0.1734,53.0,28.917,9.0,5.3871,0.24221,,0.98842674,14.646153887112936
0,16,958,5.818,-0.4896,93.75,40.75,10.4,2.9792,0.044118,,0.6633784,14.646153887112936
0,16,958,6.2404,0.422400000000001,146.5,52.75,9.3,2.1222,0.0,,0.4989721,14.646153887112936
0,16,965,1.27,1.27,1.0,1.0,10.0,9.6927,0.0,,0.78081375,14.646153887112936
0,16,965,3.748,2.478,3.0,2.0,10.0,9.6927,0.0,,1.8546739,14.646153887112936
0,16,965,6.2148,2.4668,5.8333,2.8333,10.0,9.6927,0.0,,1.8314402,14.646153887112936
0,16,965,11.849,5.6342,24.917,19.0837,7.0,10.458,0.0,,3.7048757,14.646153887112936
0,16,965,13.515,1.666,49.417,24.5,8.0,5.1014,0.0,,0.8891761,14.646153887112936
0,16,965,15.53,2.015,93.167,43.75,3.5,4.0812,0.077626,,1.6104342,14.646153887112936
0,16,965,16.503,0.973000000000001,147.42,54.253,9.5,4.8464,0.0,,0.82830375,14.646153887112936
0,16,972,3.501,3.501,1.0,1.0,17.0,2.7548,2.2,,2.5012202,14.646153887112936
0,16,972,6.779,3.278,3.0,2.0,17.0,2.7548,0.0,,1.1569211,14.646153887112936
0,16,972,7.826,1.047,6.0,3.0,17.0,2.7548,0.0,,1.293095,14.646153887112936
0,16,972,9.3212,1.4952,23.817,17.817,14.0,3.8057,0.52809,,3.1335592,14.646153887112936
0,16,972,10.226,0.904800000000002,47.583,23.766,16.0,4.071,0.02521,,1.361822,14.646153887112936
0,16,972,10.651,0.424999999999999,94.833,47.25,15.0,2.8874,0.054968,,0.8333978,14.646153887112936
0,16,972,10.651,0.0,144.67,49.837,16.0,2.1018,0.084337,,0.26095107,14.646153887112936
0,16,982,2.6796,2.6796,2.7667,2.7667,12.6,4.18,0.0,,3.7140028,14.646153887112936
0,16,982,11.038,8.3584,5.9667,3.2,13.6,5.06,0.0,,2.945267,14.646153887112936
0,16,982,25.329,14.291,23.683,17.7163,11.5,4.74,0.011364,,4.0803194,14.646153887112936
0,16,982,28.113,2.784,47.65,23.967,11.7,3.78,0.033333,,1.9022675,14.646153887112936
0,16,982,29.274,1.161,72.367,24.717,9.8,3.68,0.13765,,1.606225,14.646153887112936
0,16,982,31.193,1.919,126.22,53.853,9.6,2.9,0.06379,,0.5100464,14.646153887112936
0,16,982,31.749,0.555999999999997,172.58,46.36,11.6,4.04,0.0,,0.4093614,14.646153887112936
0,16,984,3.3604,3.3604,3.0667,3.0667,17.7,4.04,0.0,,4.301809,14.646153887112936
0,16,984,8.7592,5.3988,6.4333,3.3666,19.7,3.52,0.0,,3.1654959,14.646153887112936
0,16,984,10.064,1.3048,23.95,17.5167,12.0,1.18,0.0,,2.0732486,14.646153887112936
0,16,984,13.496,3.432,47.933,23.983,16.1,1.61,0.0,,2.1323137,14.646153887112936
0,16,984,13.267,-0.229000000000001,70.817,22.884,15.8,2.12,0.0,,0.6526782,14.646153887112936
0,16,984,13.316,0.0490000000000013,119.67,48.853,13.6,1.9,0.0,,0.9365212,14.646153887112936
0,16,984,13.46,0.144,167.78,48.11,15.3,1.38,0.0,,0.050624646,14.646153887112936
0,16,1008,2.3972,2.3972,2.5667,2.5667,19.9,1.46,0.0,,6.5871825,14.646153887112936
0,16,1008,5.7028,3.3056,5.8,3.2333,21.2,1.84,0.0,,5.646747,14.646153887112936
0,16,1008,9.3877,3.6849,23.167,17.367,16.9,0.84,0.0,,3.5429478,14.646153887112936
0,16,1008,13.506,4.1183,49.117,25.95,15.8,2.04,0.0,,3.8382607,14.646153887112936
0,16,1008,16.148,2.642,72.967,23.85,16.3,2.26,0.0,,2.157355,14.646153887112936
0,16,1008,16.922,0.774000000000001,128.25,55.283,17.5,1.58,0.0072333,,0.25709918,14.646153887112936
0,16,1008,17.127,0.204999999999998,169.32,41.07,16.1,2.25,0.014634,,-0.30199787,14.646153887112936
0,16,1009,5.6224,5.6224,2.75,2.75,8.9,3.73,0.35714,,2.900485,14.646153887112936
0,16,1009,9.3484,3.726,20.75,18.0,7.5,2.72,0.31111,,3.601479,14.646153887112936
0,16,1009,14.708,5.3596,43.967,23.217,7.8,4.08,0.23276,,2.4608488,14.646153887112936
0,16,1009,16.476,1.768,71.167,27.2,7.9,3.34,0.0073529,,1.7004043,14.646153887112936
0,16,1009,16.869,0.393000000000001,114.83,43.663,11.4,2.98,0.2746,,1.1881152,14.646153887112936
0,16,1009,17.948,1.079,161.75,46.92,12.2,2.91,0.23454,,-0.5802627,14.646153887112936
0,16,1132,25.032,25.032,24.0,24.0,19.49,2.0134,0.0,,22.828201,14.646153887112936
0,16,1132,25.032,0.0,48.5,24.5,21.25,1.8178,0.0,,1.1959004,14.646153887112936
0,16,1132,25.08,0.0479999999999983,72.5,24.0,21.2,1.8983,0.0,,0.71509093,14.646153887112936
0,16,1132,26.04,0.960000000000001,168.5,96.0,19.12,1.8868,0.0020833,,0.23575221,14.646153887112936
0,16,1155,0.50416,0.50416,1.8333,1.8333,10.7,3.2,0.0,,0.730105,14.646153887112936
0,16,1155,1.2167,0.71254,6.0,4.1667,12.6,3.6,0.0,,1.1558299,14.646153887112936
0,16,1155,1.6787,0.462,25.25,19.25,9.7,2.4,0.0,,1.8519104,14.646153887112936
0,16,1155,2.1703,0.4916,49.833,24.583,15.1,3.8,0.26034,,3.1240945,14.646153887112936
0,16,1155,2.4261,0.2558,73.083,23.25,14.0,5.1,0.060215,,0.7932382,14.646153887112936
0,16,1155,2.8805,0.4544,97.0,23.917,13.6,5.5,0.025087,,0.7037757,14.646153887112936
0,16,1155,3.2223,0.3418,145.83,48.83,11.6,4.0,0.2785,,0.60475975,14.646153887112936
0,16,1159,0.363,0.363,1.5,1.5,13.35,2.0,0.0,,-0.26004943,14.646153887112936
0,16,1159,1.1096,0.7466,5.45,3.95,12.57,2.32,0.0,,-0.16783796,14.646153887112936
0,16,1159,1.4639,0.3543,23.167,17.717,9.89,2.22,0.0,,1.4534999,14.646153887112936
0,16,1159,2.6481,1.1842,70.533,47.366,10.94,2.65,0.0,,3.7075067,14.646153887112936
0,16,1159,3.6862,1.0381,174.35,103.817,9.71,4.7,0.0,,2.433735,14.646153887112936
0,16,1192,0.173,0.173,1.0,1.0,8.1,5.4179,0.0,,-0.41922566,14.646153887112936
0,16,1192,2.4438,2.2708,5.0333,4.0333,7.8,5.5684,0.0,,0.395458,14.646153887112936
0,16,1192,3.5579,1.1141,23.917,18.8837,4.1,3.6872,0.00052957,,1.2338394,14.646153887112936
0,16,1192,5.0301,1.4722,52.783,28.866,4.3,3.3109,0.00034642,,1.692639,14.646153887112936
0,16,1192,5.6792,0.6491,75.167,22.384,6.8,2.2574,0.0,,0.5778288,14.646153887112936
0,16,1192,6.0171,0.3379,142.75,67.583,8.4,3.3109,0.0014797,,1.2402091,14.646153887112936
0,16,1194,0.95872,0.95872,1.0167,1.0167,3.3,3.4087,0.68852,,0.85021025,14.646153887112936
0,16,1194,1.8707,0.91198,5.0167,4.0,5.9,4.372,0.0,,0.9002643,14.646153887112936
0,16,1194,2.1514,0.2807,25.067,20.0503,5.6,2.3713,0.0,,1.6460615,14.646153887112936
0,16,1194,6.0937,3.9423,50.833,25.766,6.6,2.89,0.0,,3.9507394,14.646153887112936
0,16,1194,8.8839,2.7902,79.017,28.184,7.9,4.8167,0.0,,2.3303537,14.646153887112936
0,16,1194,11.622,2.7381,144.22,65.203,6.4,2.5195,0.0006135,,2.5372548,14.646153887112936
0,16,1200,1.871,1.871,1.0,1.0,5.2,5.1131,0.2,,-0.19832511,14.646153887112936
0,16,1200,2.395,0.524,5.0,4.0,4.2,4.372,0.125,,-0.7828653,14.646153887112936
0,16,1200,2.6986,0.3036,26.683,21.683,5.7,2.5936,0.0,,2.2721205,14.646153887112936
0,16,1200,3.966,1.2674,52.55,25.867,6.6,2.89,0.0,,3.83521,14.646153887112936
0,16,1200,4.3054,0.339399999999999,80.833,28.283,7.9,4.8167,0.0,,1.0454667,14.646153887112936
0,16,1200,4.832,0.5266,146.65,65.817,6.4,2.5195,0.00060775,,1.3848355,14.646153887112936
0,16,1211,3.0897,3.0897,1.0833,1.0833,16.3,3.5106,0.0,,1.3259027,14.646153887112936
0,16,1211,8.1857,5.096,5.0833,4.0,16.1,3.8032,0.0,,2.7413378,14.646153887112936
0,16,1211,12.319,4.1333,22.9,17.8167,11.0,2.3404,0.0056127,,3.5349977,14.646153887112936
0,16,1211,14.378,2.059,47.7,24.8,13.4,2.7792,0.0,,3.3437567,14.646153887112936
0,16,1211,15.33,0.952,74.167,26.467,13.2,1.8284,0.0,,2.8030481,14.646153887112936
0,16,1211,17.783,2.453,165.02,90.853,12.9,3.8032,0.00022014,,3.0628333,14.646153887112936
0,16,1221,1.5119,1.5119,0.96667,0.96667,20.2,2.8379,0.0,,2.2204177,14.646153887112936
0,16,1221,9.1439,7.632,6.9667,6.00003,19.1,3.4515,0.0,,3.7666008,14.646153887112936
0,16,1221,10.913,1.7691,21.117,14.1503,11.8,2.5311,0.0,,2.8035073,14.646153887112936
0,16,1221,12.48,1.567,48.133,27.016,13.5,3.068,0.0,,4.3681626,14.646153887112936
0,16,1221,13.428,0.948,73.767,25.634,15.3,2.1476,0.0,,2.4565473,14.646153887112936
0,16,1221,14.453,1.025,166.97,93.203,13.3,1.6874,0.001073,,1.5898474,14.646153887112936
0,16,1227,3.414,3.414,1.0,1.0,15.9,1.4573,0.0,,3.6212234,14.646153887112936
0,16,1227,10.264,6.85,6.9,5.9,15.5,2.2243,0.0,,4.176756,14.646153887112936
0,16,1227,17.24,6.976,23.75,16.85,9.9,1.9942,0.0,,3.59834,14.646153887112936
0,16,1227,21.999,4.759,48.667,24.917,12.3,2.9146,0.0,,4.574205,14.646153887112936
0,16,1227,23.633,1.634,73.05,24.383,12.4,4.9089,0.0,,2.4934902,14.646153887112936
0,16,1227,25.605,1.972,141.07,68.02,10.8,2.3777,0.0014702,,1.3475176,14.646153887112936
0,16,1228,0.17877,0.17877,1.0333,1.0333,15.6,2.6845,0.0,,2.185027,14.646153887112936
0,16,1228,1.9661,1.78733,7.1333,6.1,16.0,2.1476,0.0,,2.9296222,14.646153887112936
0,16,1228,4.3231,2.357,23.85,16.7167,9.8,1.9175,0.0,,3.0112338,14.646153887112936
0,16,1228,8.1535,3.8304,50.45,26.6,12.5,2.9913,0.0,,4.483463,14.646153887112936
0,16,1228,10.982,2.8285,74.833,24.383,12.4,4.9089,0.0,,2.1097245,14.646153887112936
0,16,1228,12.549,1.567,142.95,68.117,10.8,2.3777,0.0014681,,1.3356895,14.646153887112936
0,16,1408,1.9307,1.9307,3.0167,3.0167,12.68,0.86289,0.53039,,3.8412845,14.646153887112936
0,16,1408,3.9513,2.0206,10.233,7.2163,12.44,0.81687,0.027714,,1.456826,14.646153887112936
0,16,1408,5.8007,1.8494,19.967,9.734,13.22,0.39118,0.11301,,0.59546655,14.646153887112936
0,16,1408,6.7047,0.904,27.5,7.533,11.08,0.17258,0.25221,,-0.64417195,14.646153887112936
0,16,1408,7.0663,0.3616,32.667,5.167,11.12,0.63278,0.17419,,1.2737819,14.646153887112936
0,16,1408,7.577,0.5107,45.433,12.766,12.68,0.74783,0.0,,0.7925351,14.646153887112936
