sample,model,pmid,e.cum,delta_e.cum,ct,dt,air.temp,wind.2m,rain.rate,prediction_ecum,prediction_delta_ecum,running_time
12,22,186,4.7615,4.7615,3.15,3.15,17.48,3.7,0.0,6.167834,2.741098,14.894602553049724
12,22,186,6.156,1.3945,19.85,16.7,11.47,2.57,0.0,10.492326,3.693916,14.894602553049724
12,22,186,9.12,2.964,43.85,24.0,13.3,4.39,0.0,14.774388,3.0748098,14.894602553049724
12,22,186,11.083,1.963,94.85,51.0,12.87,5.79,0.0,17.167944,2.279082,14.894602553049724
12,22,186,11.083,0.0,165.85,71.0,9.15,5.12,0.20845,19.35541,1.2853851,14.894602553049724
12,22,191,4.8096,4.8096,4.3,4.3,12.52,4.02,0.046512,4.6485696,2.9022393,14.894602553049724
12,22,191,7.4771,2.6675,19.8,15.5,9.64,3.16,0.0,7.477993,3.1157963,14.894602553049724
12,22,191,8.8629,1.3858,45.8,26.0,10.51,5.47,0.47308,9.850357,2.1782165,14.894602553049724
12,22,191,9.9429,1.08,95.8,50.0,11.06,7.01,0.13,11.047344,1.3300179,14.894602553049724
12,22,191,10.545,0.6021,165.8,70.0,11.06,7.01,0.0,14.1057415,0.9559988,14.894602553049724
12,22,206,2.2307,2.2307,1.1667,1.1667,13.6,2.3,0.0,2.2495484,1.9555097,14.894602553049724
12,22,206,7.559,5.3283,5.25,4.0833,16.1,2.2,0.09796,4.6357846,2.2459078,14.894602553049724
12,22,206,17.385,9.826,23.917,18.667,14.6,3.3,0.0053571,9.113015,2.2607875,14.894602553049724
12,22,206,21.909,4.524,49.667,25.75,13.4,3.0,0.0,11.97072,1.953321,14.894602553049724
12,22,206,24.789,2.88,96.333,46.666,18.0,2.8,0.0021429,13.541126,1.4734457,14.894602553049724
12,22,206,28.074,3.285,170.5,74.167,14.6,3.3,0.10517,15.306855,1.0385041,14.894602553049724
12,22,911,-0.031,-0.031,1.0,1.0,5.1,3.1629,0.0,-0.36779785,0.58913684,14.894602553049724
12,22,911,2.9061,2.9371,3.3333,2.3333,5.1,3.1629,0.0,0.051452383,-0.91933405,14.894602553049724
12,22,911,3.1131,0.207,6.5,3.1667,5.1,3.1629,0.0,1.4313946,-0.1652729,14.894602553049724
12,22,911,5.665,2.5519,23.417,16.917,7.9,4.4485,0.0,4.7137012,1.236635,14.894602553049724
12,22,911,9.4412,3.7762,47.333,23.916,8.8,2.265,0.12552,6.2692704,1.2585965,14.894602553049724
12,22,911,11.373,1.9318,95.667,48.334,7.6,2.9078,0.082816,7.931176,1.2699655,14.894602553049724
12,22,911,13.272,1.899,144.33,48.663,5.4,4.4383,0.01232,9.365016,0.59186184,14.894602553049724
12,22,932,3.1296,3.1296,1.1667,1.1667,16.3,8.1827,0.16667,2.1422725,1.561553,14.894602553049724
12,22,932,4.9036,1.774,3.1667,2.0,16.3,8.1317,0.0,2.8690472,1.2037556,14.894602553049724
12,22,932,4.7881,-0.1155,5.25,2.0833,16.3,7.2134,0.0,4.598088,1.0374185,14.894602553049724
12,22,932,5.4769,0.6888,22.0,16.75,17.6,3.6832,0.11905,8.113738,1.841342,14.894602553049724
