sample,model,pmid,e.cum,delta_e.cum,ct,dt,air.temp,wind.2m,rain.rate,prediction_ecum,prediction_delta_ecum,running_time
11,17,190,10.586,10.586,4.25,4.25,12.52,4.02,0.047059,6.1159596,5.570638,21.693395642439523
11,17,190,15.53,4.944,19.75,15.5,9.64,3.16,0.0,7.7684045,2.5251718,21.693395642439523
11,17,190,17.561,2.031,45.75,26.0,10.51,5.47,0.47308,8.642232,2.1517386,21.693395642439523
11,17,190,18.511,0.949999999999999,95.5,49.75,11.06,7.01,0.13065,10.39929,2.6722627,21.693395642439523
11,17,190,18.895,0.384,166.5,71.0,11.06,7.01,0.0,12.439798,1.2666417,21.693395642439523
11,17,196,1.868,1.868,4.5,4.5,11.82,7.47,0.0,3.383035,3.1102877,21.693395642439523
11,17,196,2.3637,0.4957,23.35,18.85,8.68,6.75,0.0,5.6955366,3.2433329,21.693395642439523
11,17,196,3.2037,0.84,44.35,21.0,10.97,5.91,0.0,9.177161,2.3708396,21.693395642439523
11,17,196,4.0572,0.8535,94.85,50.5,12.48,5.52,0.091089,12.217989,1.9958705,21.693395642439523
11,17,196,4.5944,0.5372,162.85,68.0,13.03,5.91,0.041176,13.933354,1.8042463,21.693395642439523
11,17,206,2.2307,2.2307,1.1667,1.1667,13.6,2.3,0.0,1.560491,1.5694797,21.693395642439523
11,17,206,7.559,5.3283,5.25,4.0833,16.1,2.2,0.09796,5.1587915,3.9186087,21.693395642439523
11,17,206,17.385,9.826,23.917,18.667,14.6,3.3,0.0053571,9.184762,3.065526,21.693395642439523
11,17,206,21.909,4.524,49.667,25.75,13.4,3.0,0.0,10.491876,2.2052078,21.693395642439523
11,17,206,24.789,2.88,96.333,46.666,18.0,2.8,0.0021429,13.526822,1.4242445,21.693395642439523
11,17,206,28.074,3.285,170.5,74.167,14.6,3.3,0.10517,15.286191,1.3991444,21.693395642439523
11,17,959,1.998,1.998,1.0,1.0,10.0,9.6927,0.0,1.7676902,1.5240961,21.693395642439523
11,17,959,3.948,1.95,3.0,2.0,10.0,9.6927,0.0,3.3538814,2.0848217,21.693395642439523
11,17,959,5.271,1.323,6.0,3.0,10.0,9.6927,0.0,5.7707767,1.7005075,21.693395642439523
11,17,959,9.2247,3.9537,25.083,19.083,7.0,10.458,0.0,7.830185,1.9189733,21.693395642439523
11,17,959,9.9079,0.683199999999999,49.5,24.417,8.0,5.1014,0.0,9.182616,0.7609463,21.693395642439523
11,17,959,12.592,2.6841,92.833,43.333,3.5,4.0812,0.078522,11.795715,0.56486,21.693395642439523
11,17,959,13.232,0.639999999999999,147.42,54.587,9.5,4.8464,0.0,16.102436,0.42851025,21.693395642439523
11,17,963,1.914,1.914,1.0,1.0,10.0,9.6927,0.0,1.7669327,1.541207,21.693395642439523
11,17,963,4.394,2.48,3.0,2.0,10.0,9.6927,0.0,3.366438,2.0987873,21.693395642439523
11,17,963,6.152,1.758,6.0,3.0,10.0,9.6927,0.0,5.809289,1.7224473,21.693395642439523
11,17,963,12.761,6.609,25.5,19.5,7.0,10.458,0.0,7.8925,1.9440116,21.693395642439523
11,17,963,13.417,0.656000000000001,49.75,24.25,8.0,5.1014,0.0,9.296542,0.7511344,21.693395642439523
11,17,963,14.572,1.155,93.917,44.167,3.5,4.0812,0.12364,11.949491,0.5661161,21.693395642439523
11,17,963,16.102,1.53,148.42,54.503,9.5,4.8464,0.0,16.325623,0.42684197,21.693395642439523
11,17,970,4.52,4.52,1.0167,1.0167,17.0,2.7548,2.2,2.735789,2.0832791,21.693395642439523
11,17,970,8.348,3.828,3.0167,2.0,17.0,2.7548,0.0,5.2489157,1.7925636,21.693395642439523
11,17,970,9.938,1.59,6.0167,3.0,17.0,2.7548,0.0,6.1024923,1.6763319,21.693395642439523
11,17,970,12.216,2.278,23.767,17.7503,14.0,3.8057,0.52809,8.31275,2.069315,21.693395642439523
11,17,970,13.311,1.095,47.517,23.75,16.0,4.071,0.02521,9.321569,1.2720234,21.693395642439523
11,17,970,14.068,0.757,94.767,47.25,15.0,2.8874,0.054968,9.657027,1.0406576,21.693395642439523
11,17,970,13.869,-0.199,144.6,49.833,16.0,2.1018,0.084337,9.622616,0.26096952,21.693395642439523
11,17,973,0.7409,0.7409,3.1,3.1,9.2,1.3,0.0,1.2279682,1.142998,21.693395642439523
11,17,973,0.9623,0.2214,5.8667,2.7667,10.8,1.19,0.0,2.2610586,1.1907978,21.693395642439523
11,17,973,2.4263,1.464,24.367,18.5003,3.8,0.59,0.010929,3.4088933,1.5815638,21.693395642439523
11,17,973,2.9618,0.5355,49.9,25.533,8.8,0.97,0.0,4.648815,1.626398,21.693395642439523
11,17,973,3.7674,0.8056,71.2,21.3,9.2,1.18,0.0,4.275514,0.7746589,21.693395642439523
11,17,973,4.0608,0.293400000000001,120.12,48.92,8.3,1.33,0.02045,5.0715137,0.90443873,21.693395642439523
11,17,973,4.8816,0.820799999999999,165.73,45.61,9.7,2.79,0.074561,5.7192097,0.8051615,21.693395642439523
11,17,984,3.3604,3.3604,3.0667,3.0667,17.7,4.04,0.0,2.2797694,2.2503247,21.693395642439523
11,17,984,8.7592,5.3988,6.4333,3.3666,19.7,3.52,0.0,3.4935646,1.8367156,21.693395642439523
11,17,984,10.064,1.3048,23.95,17.5167,12.0,1.18,0.0,6.7224565,1.9627985,21.693395642439523
11,17,984,13.496,3.432,47.933,23.983,16.1,1.61,0.0,9.49449,1.7910122,21.693395642439523
11,17,984,13.267,-0.229000000000001,70.817,22.884,15.8,2.12,0.0,9.825084,0.67553234,21.693395642439523
11,17,984,13.316,0.0490000000000013,119.67,48.853,13.6,1.9,0.0,8.920283,0.4965942,21.693395642439523
11,17,984,13.46,0.144,167.78,48.11,15.3,1.38,0.0,8.620751,0.28296107,21.693395642439523
11,17,990,7.966,7.966,3.5,3.5,14.5,4.7,0.0,4.477999,3.3443017,21.693395642439523
11,17,990,9.91,1.944,6.5667,3.0667,12.0,3.75,0.0,8.522486,3.6172647,21.693395642439523
11,17,990,15.376,5.466,20.267,13.7003,10.2,3.18,0.058394,13.203293,3.0197234,21.693395642439523
11,17,990,16.858,1.482,44.2,23.933,9.8,3.68,0.14226,14.074759,2.4501987,21.693395642439523
11,17,990,17.564,0.706,69.433,25.233,9.2,3.21,0.0,15.138494,1.500725,21.693395642439523
11,17,990,17.935,0.370999999999999,115.85,46.417,10.7,2.27,0.0,16.336817,1.2815458,21.693395642439523
11,17,990,17.987,0.0519999999999996,168.23,52.38,11.2,3.75,0.0076482,18.09602,0.8454528,21.693395642439523
11,17,994,1.5836,1.5836,3.7333,3.7333,10.0,5.0,0.054054,3.1826048,2.6501079,21.693395642439523
11,17,994,1.8622,0.2786,23.683,19.9497,7.0,3.58,0.23116,6.7570763,3.396133,21.693395642439523
11,17,994,2.8972,1.035,46.767,23.084,9.6,7.21,0.0086957,12.269207,4.174568,21.693395642439523
11,17,994,2.56,-0.3372,74.833,28.066,10.9,7.21,0.042705,13.749185,1.7801176,21.693395642439523
11,17,994,1.9867,-0.5733,119.0,44.167,10.0,5.79,0.081633,16.993042,1.572281,21.693395642439523
11,17,994,2.7022,0.7155,166.75,47.75,5.8,3.12,0.016771,24.134827,0.5950396,21.693395642439523
11,17,999,2.0575,2.0575,2.5333,2.5333,13.5,3.52,0.0,1.807693,1.7796863,21.693395642439523
11,17,999,4.9883,2.9308,5.9333,3.4,15.6,3.74,0.0,2.5597708,1.6544214,21.693395642439523
11,17,999,7.9043,2.916,23.917,17.9837,10.8,1.41,0.0,5.34252,1.9705285,21.693395642439523
11,17,999,11.178,3.2737,50.317,26.4,14.2,2.09,0.0,7.62839,1.8721372,21.693395642439523
11,17,999,12.162,0.984,74.4,24.083,16.1,1.61,0.0,7.4283943,0.7869947,21.693395642439523
11,17,999,12.673,0.510999999999999,121.0,46.6,14.2,1.83,0.0,7.4478025,0.62715995,21.693395642439523
11,17,999,13.16,0.487,169.75,48.75,14.7,1.85,0.0,7.3519464,0.44071102,21.693395642439523
11,17,1009,5.6224,5.6224,2.75,2.75,8.9,3.73,0.35714,3.7875361,3.209227,21.693395642439523
11,17,1009,9.3484,3.726,20.75,18.0,7.5,2.72,0.31111,7.2567015,2.7219949,21.693395642439523
11,17,1009,14.708,5.3596,43.967,23.217,7.8,4.08,0.23276,8.91383,2.4551349,21.693395642439523
11,17,1009,16.476,1.768,71.167,27.2,7.9,3.34,0.0073529,9.998974,0.99812186,21.693395642439523
11,17,1009,16.869,0.393000000000001,114.83,43.663,11.4,2.98,0.2746,10.515819,0.67479205,21.693395642439523
11,17,1009,17.948,1.079,161.75,46.92,12.2,2.91,0.23454,8.844199,0.08535084,21.693395642439523
11,17,1012,20.912,20.912,3.3,3.3,20.7,3.31,0.0,9.005976,5.613759,21.693395642439523
11,17,1012,30.472,9.56,7.3167,4.0167,20.8,3.65,0.0,18.581305,4.2314744,21.693395642439523
11,17,1012,30.955,0.482999999999997,25.233,17.9163,13.2,1.32,0.0,21.885546,3.456339,21.693395642439523
11,17,1012,32.455,1.5,49.067,23.834,16.3,2.26,0.0,23.374378,2.7330022,21.693395642439523
11,17,1012,34.444,1.989,72.55,23.483,17.2,1.9,0.0,23.247122,1.2184271,21.693395642439523
11,17,1012,34.251,-0.193000000000005,120.7,48.15,16.5,1.44,0.016632,23.53951,0.8878633,21.693395642439523
