sample,model,pmid,e.cum,delta_e.cum,ct,dt,air.temp,wind.2m,rain.rate,prediction_ecum,prediction_delta_ecum,running_time
9,5,198,7.1136,7.1136,6.5,6.5,9.51,5.27,0.0,2.8633602,,20.427855201562245
9,5,198,8.5755,1.4619,23.0,16.5,4.4,2.48,0.0,7.093116,,20.427855201562245
9,5,198,13.683,5.1075,47.0,24.0,10.08,7.59,0.0,8.074913,,20.427855201562245
9,5,198,15.824,2.141,95.0,48.0,8.76,4.43,0.0,8.549922,,20.427855201562245
9,5,198,19.481,3.657,172.0,77.0,11.54,6.09,0.0,7.3705425,,20.427855201562245
9,5,204,1.333,1.333,1.25,1.25,10.8,4.1,0.0,1.3507478,,20.427855201562245
9,5,204,5.4997,4.1667,4.4167,3.1667,13.7,6.2,0.0,4.0645194,,20.427855201562245
9,5,204,11.889,6.3893,23.5,19.0833,10.3,4.0,0.0052402,8.924369,,20.427855201562245
9,5,204,17.33,5.441,49.25,25.75,12.4,3.3,0.17087,11.446454,,20.427855201562245
9,5,204,20.31,2.98,95.167,45.917,10.9,1.8,0.0043557,10.148944,,20.427855201562245
9,5,204,22.557,2.247,167.67,72.503,12.7,4.0,0.11724,9.195015,,20.427855201562245
9,5,208,1.4489,1.4489,1.4167,1.4167,19.0,4.1,0.0,2.2947521,,20.427855201562245
9,5,208,2.6703,1.2214,4.25,2.8333,20.1,2.4,0.0,5.7728786,,20.427855201562245
9,5,208,5.0198,2.3495,25.417,21.167,17.8,1.1,0.0,10.64969,,20.427855201562245
9,5,208,5.7801,0.7603,48.667,23.25,14.9,1.5,0.0,13.218763,,20.427855201562245
9,5,208,7.7201,1.94,97.167,48.5,15.5,1.4,0.11546,12.21558,,20.427855201562245
9,5,208,9.2932,1.5731,169.0,71.833,14.9,2.0,0.0027842,11.168317,,20.427855201562245
9,5,911,-0.031,-0.031,1.0,1.0,5.1,3.1629,0.0,0.03711114,,20.427855201562245
9,5,911,2.9061,2.9371,3.3333,2.3333,5.1,3.1629,0.0,0.0847345,,20.427855201562245
9,5,911,3.1131,0.207,6.5,3.1667,5.1,3.1629,0.0,0.03711114,,20.427855201562245
9,5,911,5.665,2.5519,23.417,16.917,7.9,4.4485,0.0,2.8946385,,20.427855201562245
9,5,911,9.4412,3.7762,47.333,23.916,8.8,2.265,0.12552,4.1274548,,20.427855201562245
9,5,911,11.373,1.9318,95.667,48.334,7.6,2.9078,0.082816,5.1913824,,20.427855201562245
9,5,911,13.272,1.899,144.33,48.663,5.4,4.4383,0.01232,7.384972,,20.427855201562245
9,5,922,0.873,0.873,1.0,1.0,2.8,7.0808,0.6,1.7950124,,20.427855201562245
9,5,922,1.841,0.968,3.0,2.0,2.8,7.846,0.0,1.612869,,20.427855201562245
9,5,922,3.527,1.686,6.0,3.0,2.8,7.04,0.0,1.9087043,,20.427855201562245
9,5,922,8.5322,5.0052,25.417,19.417,4.9,7.8664,0.061856,7.7099457,,20.427855201562245
9,5,922,9.8282,1.296,49.417,24.0,6.3,11.264,0.0,11.686176,,20.427855201562245
9,5,922,19.197,9.3688,97.2,47.783,6.9,12.478,0.033473,24.736706,,20.427855201562245
9,5,922,24.246,5.049,146.67,49.47,8.3,9.1214,0.0,33.76617,,20.427855201562245
9,5,924,1.9767,1.9767,1.0833,1.0833,5.1,3.1629,0.0,0.89653045,,20.427855201562245
9,5,924,3.0887,1.112,3.25,2.1667,5.1,3.1629,0.0,0.6235131,,20.427855201562245
9,5,924,3.0743,-0.0143999999999997,5.6667,2.4167,5.1,3.1629,0.0,0.03711114,,20.427855201562245
9,5,924,6.8627,3.7884,22.083,16.4163,7.9,4.4485,0.0,1.9942713,,20.427855201562245
9,5,924,11.504,4.6413,45.917,23.834,8.8,2.265,0.12605,6.6640253,,20.427855201562245
