sample,model,pmid,e.cum,delta_e.cum,ct,dt,air.temp,wind.2m,rain.rate,prediction_ecum,prediction_delta_ecum,running_time
12,21,186,4.7615,4.7615,3.15,3.15,17.48,3.7,0.0,6.3353386,4.7530327,17.414257327715557
12,21,186,6.156,1.3945,19.85,16.7,11.47,2.57,0.0,8.462103,3.2185717,17.414257327715557
12,21,186,9.12,2.964,43.85,24.0,13.3,4.39,0.0,10.016422,1.6375954,17.414257327715557
12,21,186,11.083,1.963,94.85,51.0,12.87,5.79,0.0,11.588505,2.1889896,17.414257327715557
12,21,186,11.083,0.0,165.85,71.0,9.15,5.12,0.20845,11.671473,0.51467836,17.414257327715557
12,21,191,4.8096,4.8096,4.3,4.3,12.52,4.02,0.046512,4.531444,3.507987,17.414257327715557
12,21,191,7.4771,2.6675,19.8,15.5,9.64,3.16,0.0,5.8420496,3.036211,17.414257327715557
12,21,191,8.8629,1.3858,45.8,26.0,10.51,5.47,0.47308,7.894785,2.0106242,17.414257327715557
12,21,191,9.9429,1.08,95.8,50.0,11.06,7.01,0.13,11.203512,1.7895677,17.414257327715557
12,21,191,10.545,0.6021,165.8,70.0,11.06,7.01,0.0,13.507307,1.6630392,17.414257327715557
12,21,206,2.2307,2.2307,1.1667,1.1667,13.6,2.3,0.0,1.5794951,1.6798742,17.414257327715557
12,21,206,7.559,5.3283,5.25,4.0833,16.1,2.2,0.09796,3.7776668,2.8696241,17.414257327715557
12,21,206,17.385,9.826,23.917,18.667,14.6,3.3,0.0053571,9.254917,3.4182072,17.414257327715557
12,21,206,21.909,4.524,49.667,25.75,13.4,3.0,0.0,12.196363,3.2291393,17.414257327715557
12,21,206,24.789,2.88,96.333,46.666,18.0,2.8,0.0021429,13.850428,2.39157,17.414257327715557
12,21,206,28.074,3.285,170.5,74.167,14.6,3.3,0.10517,15.472483,0.47580433,17.414257327715557
12,21,911,-0.031,-0.031,1.0,1.0,5.1,3.1629,0.0,0.44105864,1.0196475,17.414257327715557
12,21,911,2.9061,2.9371,3.3333,2.3333,5.1,3.1629,0.0,0.44105864,1.0196475,17.414257327715557
12,21,911,3.1131,0.207,6.5,3.1667,5.1,3.1629,0.0,1.822928,-0.025583982,17.414257327715557
12,21,911,5.665,2.5519,23.417,16.917,7.9,4.4485,0.0,5.5817466,1.49736,17.414257327715557
12,21,911,9.4412,3.7762,47.333,23.916,8.8,2.265,0.12552,7.750664,1.1527969,17.414257327715557
12,21,911,11.373,1.9318,95.667,48.334,7.6,2.9078,0.082816,9.316486,1.47276,17.414257327715557
12,21,911,13.272,1.899,144.33,48.663,5.4,4.4383,0.01232,10.655895,0.81081295,17.414257327715557
12,21,932,3.1296,3.1296,1.1667,1.1667,16.3,8.1827,0.16667,2.3329086,2.247122,17.414257327715557
12,21,932,4.9036,1.774,3.1667,2.0,16.3,8.1317,0.0,3.3126757,1.7948502,17.414257327715557
12,21,932,4.7881,-0.1155,5.25,2.0833,16.3,7.2134,0.0,5.4571557,1.6445298,17.414257327715557
12,21,932,5.4769,0.6888,22.0,16.75,17.6,3.6832,0.11905,8.130054,1.7568128,17.414257327715557
12,21,932,5.4526,-0.0242999999999993,46.25,24.25,17.3,5.4994,0.0,8.81867,1.2183594,17.414257327715557
12,21,932,8.2498,2.7972,90.667,44.417,13.5,3.7343,0.12613,9.207964,0.7104653,17.414257327715557
12,21,932,9.3322,1.0824,139.83,49.163,17.9,4.4893,0.0,10.683178,0.49053407,17.414257327715557
12,21,948,0.284,0.284,1.0,1.0,10.0,5.1014,0.0,1.4942693,1.5925052,17.414257327715557
12,21,948,2.67,2.386,3.0,2.0,10.0,5.1014,0.0,2.6173966,1.440126,17.414257327715557
12,21,948,4.056,1.386,6.0,3.0,10.0,5.1014,0.0,5.1689744,1.1461731,17.414257327715557
12,21,948,6.144,2.088,24.0,18.0,9.3,5.3871,0.47778,7.889098,1.8871775,17.414257327715557
12,21,948,7.9999,1.8559,51.667,27.667,9.0,5.3871,0.25271,8.949848,1.5102684,17.414257327715557
12,21,948,8.2453,0.2454,92.583,40.916,10.4,2.9792,0.04401,9.678833,0.9959721,17.414257327715557
12,21,948,9.1412,0.895899999999999,145.25,52.667,9.3,2.1222,0.0,10.764156,0.77461314,17.414257327715557
12,21,950,1.95,1.95,1.0,1.0,10.0,9.6927,0.0,1.7512624,1.8085456,17.414257327715557
12,21,950,5.474,3.524,3.0,2.0,10.0,9.6927,0.0,3.4612057,1.8806989,17.414257327715557
12,21,950,9.218,3.744,6.0,3.0,10.0,9.6927,0.0,5.620726,1.5299555,17.414257327715557
12,21,950,14.773,5.555,25.667,19.667,7.0,10.458,0.0,8.318152,2.1334765,17.414257327715557
12,21,950,16.158,1.385,50.0,24.333,8.0,5.1014,0.0,8.694372,1.2093482,17.414257327715557
12,21,950,20.446,4.288,94.167,44.167,3.5,4.0812,0.076923,8.16645,0.63037884,17.414257327715557
12,21,950,22.015,1.569,148.58,54.413,9.5,4.8464,0.0,9.666187,0.6946074,17.414257327715557
12,21,955,0.54,0.54,1.0,1.0,10.0,5.1014,0.0,1.4942693,1.5925052,17.414257327715557
12,21,955,1.796,1.256,3.2,2.2,10.0,5.1014,0.0,2.6398008,1.4357091,17.414257327715557
12,21,955,2.426,0.63,6.2,3.0,10.0,5.1014,0.0,5.18917,1.1298511,17.414257327715557
12,21,955,2.768,0.342,24.2,18.0,9.3,5.3871,0.47778,7.863867,1.8727396,17.414257327715557
12,21,955,2.8762,0.1082,51.25,27.05,9.0,5.3871,0.25878,8.884943,1.4838614,17.414257327715557
12,21,955,3.243,0.3668,92.0,40.75,10.4,2.9792,0.044172,9.5967865,0.9954322,17.414257327715557
12,21,955,3.1902,-0.0528,144.83,52.83,9.3,2.1222,0.0,10.710079,0.7873354,17.414257327715557
12,21,961,4.426,4.426,1.0,1.0,17.0,2.7548,2.2,2.3822446,2.159337,17.414257327715557
12,21,961,5.6461,1.2201,3.0833,2.0833,17.0,2.7548,0.0,3.3053353,1.7412238,17.414257327715557
12,21,961,7.0171,1.371,6.0833,3.0,17.0,2.7548,0.0,7.058323,1.8342106,17.414257327715557
12,21,961,8.1243,1.1072,23.417,17.3337,14.0,3.8057,0.54335,9.6953945,1.8984611,17.414257327715557
12,21,961,9.0049,0.880599999999999,47.167,23.75,16.0,4.071,0.02521,11.17247,1.5105143,17.414257327715557
12,21,961,9.7617,0.7568,94.417,47.25,15.0,2.8874,0.054968,12.401854,0.63480127,17.414257327715557
12,21,961,9.8115,0.0498000000000012,144.25,49.833,16.0,2.1018,0.084337,13.873913,0.25435835,17.414257327715557
12,21,980,5.012,5.012,3.5333,3.5333,18.5,3.97,0.0,6.0409355,4.511745,17.414257327715557
12,21,980,8.592,3.58,6.0667,2.5334,19.8,3.63,0.0,8.35367,3.8295145,17.414257327715557
12,21,980,9.7412,1.1492,23.017,16.9503,12.1,1.21,0.0,12.001616,2.6881266,17.414257327715557
12,21,980,12.477,2.7358,47.05,24.033,16.1,1.61,0.0,13.916058,2.1344285,17.414257327715557
12,21,980,12.705,0.228,69.867,22.817,15.8,2.12,0.0,12.992449,1.0169156,17.414257327715557
12,21,980,12.902,0.196999999999999,119.17,49.303,13.6,1.9,0.0,11.4799385,0.44097483,17.414257327715557
12,21,980,12.854,-0.048,167.13,47.96,15.3,1.38,0.0,13.14888,0.6569913,17.414257327715557
12,21,1005,7.0592,7.0592,3.1667,3.1667,11.8,5.39,0.3125,4.544238,3.492601,17.414257327715557
12,21,1005,10.143,3.0838,5.0833,1.9166,12.2,5.47,0.73684,5.3321996,2.6807761,17.414257327715557
12,21,1005,17.995,7.852,20.0,14.9167,11.6,5.56,0.18792,9.81773,2.1819563,17.414257327715557
12,21,1005,21.88,3.885,45.933,25.933,8.6,3.53,0.27027,11.51446,1.5397284,17.414257327715557
12,21,1005,21.068,-0.811999999999998,70.5,24.567,7.8,4.08,0.21951,11.376997,1.050843,17.414257327715557
12,21,1005,21.416,0.347999999999999,120.07,49.57,10.4,3.79,0.22177,11.993189,0.21817571,17.414257327715557
12,21,1005,21.328,-0.088000000000001,164.08,44.01,11.7,2.49,0.18182,14.478619,0.420263,17.414257327715557
12,21,1008,2.3972,2.3972,2.5667,2.5667,19.9,1.46,0.0,6.24804,4.616454,17.414257327715557
12,21,1008,5.7028,3.3056,5.8,3.2333,21.2,1.84,0.0,8.522661,4.1707506,17.414257327715557
12,21,1008,9.3877,3.6849,23.167,17.367,16.9,0.84,0.0,13.7211895,3.4778142,17.414257327715557
12,21,1008,13.506,4.1183,49.117,25.95,15.8,2.04,0.0,16.325092,2.64857,17.414257327715557
12,21,1008,16.148,2.642,72.967,23.85,16.3,2.26,0.0,16.62252,1.6788938,17.414257327715557
12,21,1008,16.922,0.774000000000001,128.25,55.283,17.5,1.58,0.0072333,17.0416,0.5908742,17.414257327715557
12,21,1008,17.127,0.204999999999998,169.32,41.07,16.1,2.25,0.014634,19.22434,0.32518375,17.414257327715557
12,21,1010,0.5248,0.5248,3.1833,3.1833,7.8,1.87,0.0,3.2700698,2.6067123,17.414257327715557
12,21,1010,1.0784,0.5536,6.4667,3.2834,10.1,1.31,0.0,4.6389995,2.0612943,17.414257327715557
12,21,1010,1.447,0.3686,25.933,19.4663,4.5,0.64,0.010309,8.381445,2.3004432,17.414257327715557
12,21,1010,1.975,0.528,49.933,24.0,8.8,0.97,0.0,10.474867,2.0117183,17.414257327715557
12,21,1010,3.3963,1.4213,73.217,23.284,9.2,1.18,0.0,9.617224,0.9763571,17.414257327715557
12,21,1010,3.3963,0.0,122.02,48.803,8.3,1.33,0.020534,8.72616,0.33166754,17.414257327715557
12,21,1010,5.6813,2.285,167.78,45.76,9.7,2.79,0.074398,10.723007,0.50398934,17.414257327715557
12,21,1131,23.04,23.04,24.0,24.0,19.95,1.9099,0.0,19.239408,12.929454,17.414257327715557
12,21,1131,24.336,1.296,48.0,24.0,21.66,1.6682,0.0,25.784973,5.221796,17.414257327715557
12,21,1131,24.72,0.384,72.0,24.0,22.11,1.7143,0.0,26.863537,1.1408356,17.414257327715557
12,21,1131,24.72,0.0,168.0,96.0,20.02,1.7603,0.0020833,29.43423,1.2642734,17.414257327715557
12,21,1150,2.1405,2.1405,1.5,1.5,12.7,7.4,0.0,0.65692383,1.0970197,17.414257327715557
12,21,1150,8.065,5.9245,5.6,4.1,13.2,7.3,0.02439,2.7581477,1.7566884,17.414257327715557
12,21,1150,12.337,4.272,23.55,17.95,6.7,3.77,0.011142,5.69825,2.1458108,17.414257327715557
12,21,1150,14.773,2.436,50.317,26.767,10.3,3.72,0.003736,8.408287,2.2670088,17.414257327715557
12,21,1150,15.746,0.973000000000001,71.933,21.616,11.6,5.14,0.30532,8.477015,1.0318097,17.414257327715557
12,21,1150,16.758,1.012,144.23,72.297,10.7,2.93,0.02213,10.313152,1.9653792,17.414257327715557
12,21,1150,17.507,0.749000000000002,167.65,23.42,11.4,2.53,0.034164,11.664413,0.302512,17.414257327715557
12,21,1162,4.348,4.348,2.0167,2.0167,13.25,2.7,0.0,2.0321875,1.9720783,17.414257327715557
12,21,1162,8.313,3.965,6.0833,4.0666,12.75,4.2,0.0,4.1967716,3.1047873,17.414257327715557
12,21,1162,10.251,1.938,23.083,16.9997,10.1,3.4,0.017647,9.369484,3.2197442,17.414257327715557
12,21,1162,15.455,5.204,50.767,27.684,11.2,4.6,0.0,12.47505,3.597807,17.414257327715557
12,21,1162,19.011,3.556,71.683,20.916,15.3,8.4,0.0,14.2167015,2.4792461,17.414257327715557
12,21,1162,21.001,1.99,98.567,26.884,15.1,6.9,0.0037198,14.231049,0.773908,17.414257327715557
12,21,1162,23.251,2.25,166.77,68.203,10.9,6.2,0.0,15.307013,0.09275621,17.414257327715557
12,21,1193,1.355,1.355,1.0,1.0,8.1,5.4179,0.0,1.2858105,1.400732,17.414257327715557
12,21,1193,3.0853,1.7303,5.0333,4.0333,7.8,5.5684,0.0,3.026282,2.1977165,17.414257327715557
12,21,1193,4.5016,1.4163,23.917,18.8837,4.1,3.6872,0.00052957,6.71222,2.2520332,17.414257327715557
12,21,1193,4.617,0.1154,52.783,28.866,4.3,3.3109,0.00034642,9.5365505,1.930438,17.414257327715557
12,21,1193,5.199,0.582,75.167,22.384,6.8,2.2574,0.0,10.654139,1.5368476,17.414257327715557
12,21,1193,5.3342,0.1352,142.75,67.583,8.4,3.3109,0.0014797,12.96036,1.3727205,17.414257327715557
12,21,1198,1.675,1.675,1.0,1.0,5.2,5.1131,0.2,0.6206157,1.0196475,17.414257327715557
12,21,1198,1.7276,0.0526,5.05,4.05,4.4,4.5202,0.098765,2.0296266,1.551568,17.414257327715557
12,21,1198,2.0874,0.3598,27.533,22.483,5.7,2.6677,0.0,6.406094,2.3781712,17.414257327715557
12,21,1198,3.4176,1.3302,53.617,26.084,6.6,2.89,0.0,9.559265,1.9706879,17.414257327715557
12,21,1198,3.7266,0.309,81.7,28.083,7.9,4.8167,0.0,10.601389,1.8918412,17.414257327715557
12,21,1198,5.3561,1.6295,146.88,65.18,6.4,2.5195,0.00061365,12.46666,1.1393778,17.414257327715557
12,21,1202,4.476,4.476,1.0,1.0,2.7,4.8908,1.1,1.7093588,1.4586921,17.414257327715557
12,21,1202,6.6572,2.1812,5.1,4.1,5.1,4.2238,0.04878,2.530126,1.2821856,17.414257327715557
12,21,1202,9.5949,2.9377,26.083,20.983,5.6,2.4454,0.0,6.4984097,2.0768394,17.414257327715557
12,21,1202,13.961,4.3661,51.917,25.834,6.6,2.89,0.0,11.696659,2.694955,17.414257327715557
12,21,1202,16.929,2.968,80.183,28.266,7.9,4.8167,0.0,14.893219,3.1706986,17.414257327715557
12,21,1202,20.546,3.617,145.95,65.767,6.4,2.5195,0.00060821,19.2569,3.3809981,17.414257327715557
12,21,1222,0.155,0.155,1.0,1.0,15.4,2.4544,0.0,3.6451614,2.9569001,17.414257327715557
12,21,1222,1.1075,0.9525,7.0667,6.0667,16.1,2.0709,0.0,7.012848,3.6665654,17.414257327715557
12,21,1222,5.8955,4.788,24.8,17.7333,10.1,1.9942,0.0,11.031399,2.940909,17.414257327715557
12,21,1222,10.009,4.1135,49.733,24.933,12.3,2.9146,0.0,13.4065,3.0258083,17.414257327715557
12,21,1222,11.868,1.859,74.183,24.45,12.4,4.9089,0.0,14.507624,1.9463327,17.414257327715557
12,21,1222,12.412,0.544,142.2,68.017,10.8,2.3777,0.0014702,16.564787,1.484784,17.414257327715557
12,21,1238,1.7566,1.7566,1.05,1.05,15.4,1.9747,0.0,1.7588123,1.819993,17.414257327715557
12,21,1238,3.5986,1.842,3.05,2.0,15.3,1.9747,0.0,3.5992036,2.921607,17.414257327715557
12,21,1238,4.0609,0.4623,7.7667,4.7167,12.1,0.95079,0.0,7.609018,2.0312557,17.414257327715557
12,21,1238,5.4499,1.389,23.2,15.4333,10.2,1.5359,0.0019438,10.407429,2.7630208,17.414257327715557
12,21,1238,7.3594,1.9095,44.417,21.217,11.3,2.4135,0.00094266,12.700602,2.654187,17.414257327715557
12,21,1238,9.1936,1.8342,70.25,25.833,9.5,2.9987,0.003871,13.107315,1.4100564,17.414257327715557
12,21,1238,10.215,1.0214,138.37,68.12,9.3,2.8524,0.0014681,14.044184,0.98376304,17.414257327715557
12,21,1244,0.112,0.112,1.0667,1.0667,9.7,3.4087,0.0,0.44105864,1.0196475,17.414257327715557
12,21,1244,0.4841,0.3721,3.1,2.0333,10.0,4.5202,0.0,0.44105864,1.0196475,17.414257327715557
12,21,1244,1.3065,0.8224,9.2833,6.1833,7.5,3.4087,0.0,1.1293049,0.39243644,17.414257327715557
12,21,1244,1.7355,0.429,22.283,12.9997,7.0,3.0382,0.0,2.3327832,0.42945647,17.414257327715557
12,21,1244,3.6735,1.938,45.633,23.35,7.6,2.4454,0.0,4.678735,0.9308631,17.414257327715557
12,21,1244,4.2806,0.6071,69.917,24.284,12.0,2.6677,0.0,6.15175,0.8360646,17.414257327715557
12,21,1244,4.2806,0.0,140.6,70.683,14.3,4.8908,0.0,7.4017925,1.6941726,17.414257327715557
12,21,1246,0.834,0.834,1.0,1.0,10.0,4.2979,0.0,0.44105864,1.0196475,17.414257327715557
12,21,1246,1.2595,0.4255,3.0167,2.0167,9.8,4.6684,0.0,0.44105864,1.0196475,17.414257327715557
12,21,1246,1.7701,0.5106,8.5667,5.55,6.9,3.0382,0.0,1.0260291,0.45291197,17.414257327715557
12,21,1246,2.3667,0.5966,24.267,15.7003,8.0,3.4087,0.0,2.2579093,0.52783346,17.414257327715557
12,21,1246,4.0677,1.701,44.517,20.25,6.6,2.0749,0.0,4.503182,0.8460452,17.414257327715557
12,21,1246,4.2374,0.1697,68.75,24.233,12.0,2.6677,0.0,5.805591,0.8996393,17.414257327715557
12,21,1246,4.8744,0.637,139.53,70.78,14.4,4.8908,0.0,7.2219105,1.8630741,17.414257327715557
12,21,1249,1.402,1.402,1.0,1.0,10.0,4.6684,0.0,0.44105864,1.0196475,17.414257327715557
12,21,1249,1.974,0.572,3.0,2.0,9.1,4.5202,0.0,0.44105864,1.0196475,17.414257327715557
12,21,1249,3.7284,1.7544,7.5333,4.5333,6.6,2.8159,0.0,2.4006543,0.23698217,17.414257327715557
12,21,1249,4.5387,0.8103,23.117,15.5837,8.0,3.4087,0.0,4.28858,1.1053948,17.414257327715557
12,21,1249,5.4393,0.9006,43.583,20.466,7.0,2.0749,0.0,6.353618,1.4554682,17.414257327715557
12,21,1249,6.1703,0.731,67.95,24.367,12.0,2.6677,0.0,7.8819685,1.0116414,17.414257327715557
12,21,1249,6.664,0.4937,138.48,70.53,14.3,4.8908,0.0,9.174988,1.8529558,17.414257327715557
12,21,1362,6.972,6.972,2.1,2.1,11.67,3.7737,0.0,3.3435047,2.7804575,17.414257327715557
12,21,1362,9.2277,2.2557,3.7833,1.6833,13.95,4.6481,0.0,5.3433237,2.8893993,17.414257327715557
12,21,1362,10.476,1.2483,5.3833,1.6,13.99,4.2109,0.0,8.500235,2.3715436,17.414257327715557
12,21,1362,11.164,0.687999999999999,6.7333,1.35,12.48,4.4985,0.0,8.526772,2.0201337,17.414257327715557
12,21,1362,12.876,1.712,21.0,14.2667,5.43,1.1045,0.0,11.20722,1.9819419,17.414257327715557
12,21,1362,13.528,0.652000000000001,24.433,3.433,11.56,2.3701,0.0,12.78027,1.2120417,17.414257327715557
12,21,1362,14.53,1.002,29.2,4.767,15.22,4.0843,0.0,13.414858,0.6120528,17.414257327715557
12,21,1362,15.552,1.022,43.8,14.6,8.05,2.1285,0.0,14.164385,0.47589284,17.414257327715557
12,21,1362,16.344,0.792000000000002,49.9,6.1,11.69,4.556,0.0,15.102005,0.24775231,17.414257327715557
12,21,1453,0.014805,0.014805,0.18333,0.18333,10.1,3.3865,0.0,0.44105864,1.0196475,17.414257327715557
12,21,1453,0.043427,0.028622,0.35,0.16667,10.2,3.3326,0.0,0.44105864,0.7820017,17.414257327715557
12,21,1453,0.057739,0.014312,0.51667,0.16667,10.4,3.5159,0.0,0.44105864,0.96307343,17.414257327715557
12,21,1453,0.087348,0.029609,0.76667,0.25,10.6,3.3757,0.0,0.44105864,0.79030925,17.414257327715557
12,21,1453,0.11178,0.024432,1.0167,0.25003,10.9,3.7532,0.0,0.84959495,0.61301523,17.414257327715557
12,21,1453,0.15915,0.04737,1.5167,0.5,11.4,3.8503,0.0,1.2305996,0.43870634,17.414257327715557
12,21,1453,0.19172,0.03257,2.0167,0.5,12.0,3.5591,0.0,1.382905,0.34913522,17.414257327715557
12,21,1453,0.28055,0.08883,3.0167,1.0,12.3,3.2571,0.0,1.4429978,0.39137137,17.414257327715557
12,21,1453,0.33089,0.05034,4.15,1.1333,12.3,2.9227,0.0,1.4476477,0.4746893,17.414257327715557
12,21,1453,0.63883,0.30794,8.15,4.0,10.4,2.8365,0.0,1.4374447,0.48376828,17.414257327715557
12,21,1453,0.70989,0.07106,12.15,4.0,7.5,2.1354,0.0,1.4302402,0.4113468,17.414257327715557
12,21,1453,0.74542,0.03553,16.15,4.0,4.7,1.855,0.0,1.3755782,0.38701868,17.414257327715557
12,21,1453,0.76911,0.02369,20.15,4.0,0.3,0.71181,0.0,1.305423,0.41510415,17.414257327715557
12,21,1453,0.97046,0.20135,24.15,4.0,8.3,0.71181,0.0,1.3876413,0.37972015,17.414257327715557
12,21,1468,0.34125,0.34125,0.28333,0.28333,12.1,0.95565,0.0,3.3307257,2.6248517,17.414257327715557
12,21,1468,1.3361,0.99485,0.78333,0.5,12.3,0.94466,0.0,3.850886,0.97455007,17.414257327715557
12,21,1468,2.3266,0.9905,1.5333,0.74997,13.7,1.1973,0.0,3.7580488,0.33994555,17.414257327715557
12,21,1468,2.827,0.5004,2.5333,1.0,14.0,1.5708,0.0,3.2154467,-0.08837664,17.414257327715557
12,21,1468,3.3185,0.4915,3.5333,1.0,15.8,1.7795,0.0,2.1312046,-0.09911919,17.414257327715557
12,21,1468,3.8337,0.5152,5.5333,2.0,16.3,2.131,0.0,3.2777333,0.5122747,17.414257327715557
12,21,1468,4.041,0.2073,7.5333,2.0,15.5,2.2957,0.0,4.7914076,0.4591484,17.414257327715557
12,21,1468,4.2364,0.195399999999999,24.033,16.4997,8.2,0.62611,0.0,6.1102047,0.5814923,17.414257327715557
12,21,1468,4.3519,0.1155,27.533,3.5,16.9,1.2412,0.0,6.617399,-0.17794824,17.414257327715557
12,21,1468,4.4585,0.1066,30.533,3.0,18.6,1.5488,0.0,6.4104376,-0.16382706,17.414257327715557
12,21,1468,4.5029,0.0444000000000004,33.533,3.0,14.2,0.99958,0.0,6.06721,-0.2168839,17.414257327715557
12,21,1468,4.5384,0.0354999999999999,45.533,12.0,9.2,0.57119,0.0,6.2234325,0.089615405,17.414257327715557
12,21,1468,4.5755,0.0370999999999997,48.667,3.134,13.0,0.83482,0.0,6.61804,-0.3123678,17.414257327715557
12,21,1468,4.6288,0.0533000000000001,51.767,3.1,17.7,0.83482,0.0,7.0435343,-0.14002514,17.414257327715557
12,21,1483,0.95047,0.95047,0.2,0.2,10.7,5.371,0.0,5.6815805,4.2213655,17.414257327715557
12,21,1483,1.8644,0.91393,0.36667,0.16667,10.8,5.0025,0.0,10.58234,5.4188623,17.414257327715557
12,21,1483,3.8206,1.9562,0.7,0.33333,11.1,4.9132,0.0,13.127096,3.138143,17.414257327715557
12,21,1483,5.2429,1.4223,1.0333,0.3333,11.4,4.7345,0.0,12.640083,1.5443518,17.414257327715557
12,21,1483,6.9306,1.6877,1.5333,0.5,11.5,4.9802,0.0,10.56991,0.54419255,17.414257327715557
12,21,1483,7.4295,0.4989,1.7,0.1667,11.8,4.6675,0.0,8.957306,0.7239671,17.414257327715557
12,21,1483,9.7991,2.3696,2.6167,0.9167,12.3,4.4553,0.0,8.50535,0.62001204,17.414257327715557
12,21,1483,12.193,2.3939,4.1167,1.5,12.9,4.4218,0.0,8.910862,0.5213737,17.414257327715557
12,21,1483,13.2,1.007,6.1167,2.0,12.1,3.1936,0.0,9.501318,0.3432569,17.414257327715557
12,21,1483,13.352,0.152000000000001,8.45,2.3333,8.6,1.6749,0.0,9.824303,0.11692119,17.414257327715557
12,21,1483,13.754,0.401999999999999,12.45,4.0,4.8,0.8598,0.0,10.630955,0.11471838,17.414257327715557
12,21,1483,13.979,0.225,16.45,4.0,0.9,0.52481,0.0,11.423147,0.08586669,17.414257327715557
12,21,1483,14.098,0.119000000000002,20.45,4.0,-0.8,0.24566,0.0,11.405157,-0.09477985,17.414257327715557
12,21,1483,14.418,0.319999999999999,23.45,3.0,4.4,0.42432,0.0,11.469191,-0.12880242,17.414257327715557
12,21,1483,14.853,0.435,26.45,3.0,11.2,0.80397,0.0,11.964876,0.062817335,17.414257327715557
12,21,1483,15.208,0.355,29.45,3.0,14.4,0.87097,0.0,12.63377,0.17561853,17.414257327715557
12,21,1483,15.377,0.169,32.45,3.0,10.8,0.64764,0.0,12.9390545,-0.020680547,17.414257327715557
12,21,1483,15.484,0.106999999999999,36.45,4.0,4.5,0.31266,0.0,12.928904,-0.28684235,17.414257327715557
12,21,1483,15.484,0.0,40.45,4.0,1.8,0.29032,0.0,12.965549,-0.4255042,17.414257327715557
12,21,1483,15.484,0.0,44.45,4.0,0.3,0.26799,0.0,13.01721,-0.45425618,17.414257327715557
