sample,model,pmid,e.cum,delta_e.cum,ct,dt,air.temp,wind.2m,rain.rate,prediction_ecum,prediction_delta_ecum,running_time
11,13,190,10.586,10.586,4.25,4.25,12.52,4.02,0.047059,,8.821271,18.05795964002609
11,13,190,15.53,4.944,19.75,15.5,9.64,3.16,0.0,,3.0738518,18.05795964002609
11,13,190,17.561,2.031,45.75,26.0,10.51,5.47,0.47308,,2.326066,18.05795964002609
11,13,190,18.511,0.949999999999999,95.5,49.75,11.06,7.01,0.13065,,1.835658,18.05795964002609
11,13,190,18.895,0.384,166.5,71.0,11.06,7.01,0.0,,1.8050548,18.05795964002609
11,13,196,1.868,1.868,4.5,4.5,11.82,7.47,0.0,,4.6262364,18.05795964002609
11,13,196,2.3637,0.4957,23.35,18.85,8.68,6.75,0.0,,2.89195,18.05795964002609
11,13,196,3.2037,0.84,44.35,21.0,10.97,5.91,0.0,,2.0568244,18.05795964002609
11,13,196,4.0572,0.8535,94.85,50.5,12.48,5.52,0.091089,,1.4438314,18.05795964002609
11,13,196,4.5944,0.5372,162.85,68.0,13.03,5.91,0.041176,,0.9601532,18.05795964002609
11,13,206,2.2307,2.2307,1.1667,1.1667,13.6,2.3,0.0,,1.3564545,18.05795964002609
11,13,206,7.559,5.3283,5.25,4.0833,16.1,2.2,0.09796,,3.1452482,18.05795964002609
11,13,206,17.385,9.826,23.917,18.667,14.6,3.3,0.0053571,,5.135227,18.05795964002609
11,13,206,21.909,4.524,49.667,25.75,13.4,3.0,0.0,,2.876373,18.05795964002609
11,13,206,24.789,2.88,96.333,46.666,18.0,2.8,0.0021429,,1.7745461,18.05795964002609
11,13,206,28.074,3.285,170.5,74.167,14.6,3.3,0.10517,,0.93504417,18.05795964002609
11,13,959,1.998,1.998,1.0,1.0,10.0,9.6927,0.0,,1.7095356,18.05795964002609
11,13,959,3.948,1.95,3.0,2.0,10.0,9.6927,0.0,,1.9920461,18.05795964002609
11,13,959,5.271,1.323,6.0,3.0,10.0,9.6927,0.0,,1.6147978,18.05795964002609
11,13,959,9.2247,3.9537,25.083,19.083,7.0,10.458,0.0,,2.551853,18.05795964002609
11,13,959,9.9079,0.683199999999999,49.5,24.417,8.0,5.1014,0.0,,1.0278904,18.05795964002609
11,13,959,12.592,2.6841,92.833,43.333,3.5,4.0812,0.078522,,0.7338882,18.05795964002609
11,13,959,13.232,0.639999999999999,147.42,54.587,9.5,4.8464,0.0,,0.45856634,18.05795964002609
11,13,963,1.914,1.914,1.0,1.0,10.0,9.6927,0.0,,1.7095356,18.05795964002609
11,13,963,4.394,2.48,3.0,2.0,10.0,9.6927,0.0,,1.9920461,18.05795964002609
11,13,963,6.152,1.758,6.0,3.0,10.0,9.6927,0.0,,1.6147978,18.05795964002609
11,13,963,12.761,6.609,25.5,19.5,7.0,10.458,0.0,,2.6329918,18.05795964002609
11,13,963,13.417,0.656000000000001,49.75,24.25,8.0,5.1014,0.0,,1.0227091,18.05795964002609
11,13,963,14.572,1.155,93.917,44.167,3.5,4.0812,0.12364,,0.7345934,18.05795964002609
11,13,963,16.102,1.53,148.42,54.503,9.5,4.8464,0.0,,0.44838572,18.05795964002609
11,13,970,4.52,4.52,1.0167,1.0167,17.0,2.7548,2.2,,1.3597012,18.05795964002609
11,13,970,8.348,3.828,3.0167,2.0,17.0,2.7548,0.0,,1.9032793,18.05795964002609
11,13,970,9.938,1.59,6.0167,3.0,17.0,2.7548,0.0,,1.6253382,18.05795964002609
11,13,970,12.216,2.278,23.767,17.7503,14.0,3.8057,0.52809,,2.7289102,18.05795964002609
11,13,970,13.311,1.095,47.517,23.75,16.0,4.071,0.02521,,1.6161737,18.05795964002609
11,13,970,14.068,0.757,94.767,47.25,15.0,2.8874,0.054968,,1.1807743,18.05795964002609
11,13,970,13.869,-0.199,144.6,49.833,16.0,2.1018,0.084337,,0.541346,18.05795964002609
11,13,973,0.7409,0.7409,3.1,3.1,9.2,1.3,0.0,,1.4908482,18.05795964002609
11,13,973,0.9623,0.2214,5.8667,2.7667,10.8,1.19,0.0,,1.866355,18.05795964002609
11,13,973,2.4263,1.464,24.367,18.5003,3.8,0.59,0.010929,,2.1695135,18.05795964002609
11,13,973,2.9618,0.5355,49.9,25.533,8.8,0.97,0.0,,1.7863487,18.05795964002609
11,13,973,3.7674,0.8056,71.2,21.3,9.2,1.18,0.0,,1.4165636,18.05795964002609
11,13,973,4.0608,0.293400000000001,120.12,48.92,8.3,1.33,0.02045,,0.949864,18.05795964002609
11,13,973,4.8816,0.820799999999999,165.73,45.61,9.7,2.79,0.074561,,1.4341002,18.05795964002609
11,13,984,3.3604,3.3604,3.0667,3.0667,17.7,4.04,0.0,,4.67715,18.05795964002609
11,13,984,8.7592,5.3988,6.4333,3.3666,19.7,3.52,0.0,,4.261147,18.05795964002609
11,13,984,10.064,1.3048,23.95,17.5167,12.0,1.18,0.0,,2.7652104,18.05795964002609
11,13,984,13.496,3.432,47.933,23.983,16.1,1.61,0.0,,2.8479793,18.05795964002609
11,13,984,13.267,-0.229000000000001,70.817,22.884,15.8,2.12,0.0,,1.0929326,18.05795964002609
11,13,984,13.316,0.0490000000000013,119.67,48.853,13.6,1.9,0.0,,0.70130026,18.05795964002609
