sample,model,pmid,e.cum,delta_e.cum,ct,dt,air.temp,wind.2m,rain.rate,prediction_ecum,prediction_delta_ecum,running_time
3,8,182,7.148,7.148,4.0,4.0,8.2,8.1,0.0,9.342881,,14.653526735305785
3,8,182,8.2921,1.1441,21.0,17.0,4.45,3.98,0.0,16.989403,,14.653526735305785
3,8,182,11.831,3.5389,44.75,23.75,7.22,6.57,0.0084211,18.409168,,14.653526735305785
3,8,182,12.632,0.801,92.99,48.24,10.04,4.86,0.05597,17.474585,,14.653526735305785
3,8,182,16.419,3.787,164.99,72.0,12.13,5.38,0.088889,14.623961,,14.653526735305785
3,8,184,8.2802,8.2802,5.15,5.15,11.15,8.27,0.0,9.467097,,14.653526735305785
3,8,184,9.4622,1.182,20.15,15.0,8.43,6.23,0.0,14.725679,,14.653526735305785
3,8,184,11.235,1.7728,45.15,25.0,10.0,7.3,0.0,17.297285,,14.653526735305785
3,8,184,12.195,0.960000000000001,95.45,50.3,12.7,3.77,0.0,16.839422,,14.653526735305785
3,8,184,12.965,0.77,164.15,68.7,10.57,6.16,0.010189,13.77151,,14.653526735305785
3,8,197,6.0246,6.0246,6.85,6.85,9.51,5.27,0.0,9.873951,,14.653526735305785
3,8,197,7.2418,1.2172,23.85,17.0,4.4,2.48,0.0,13.074729,,14.653526735305785
3,8,197,7.2418,0.0,47.15,23.3,10.08,7.59,0.0,15.430339,,14.653526735305785
3,8,197,9.6718,2.43,95.75,48.6,8.76,4.43,0.0,14.638978,,14.653526735305785
3,8,197,15.272,5.6002,172.05,76.3,11.54,6.09,0.0,11.608401,,14.653526735305785
3,8,933,3.621,3.621,1.0,1.0,14.6,3.4996,1.8,1.6717389,,14.653526735305785
3,8,933,5.947,2.326,3.0,2.0,14.6,3.4996,0.0,1.8009684,,14.653526735305785
3,8,933,7.4673,1.5203,6.1667,3.1667,14.6,3.4996,0.0,2.8218646,,14.653526735305785
3,8,933,15.425,7.9577,24.75,18.5833,17.1,4.1934,0.17347,5.9351406,,14.653526735305785
3,8,933,17.831,2.406,48.667,23.917,20.4,5.6116,0.0,8.294254,,14.653526735305785
3,8,933,20.823,2.992,95.283,46.616,20.2,3.6832,0.87273,10.02251,,14.653526735305785
3,8,933,20.871,0.0479999999999983,143.4,48.117,19.0,4.2546,0.099174,8.605384,,14.653526735305785
3,8,940,5.108,5.108,1.0,1.0,16.3,8.1827,0.2,4.1152415,,14.653526735305785
3,8,940,7.052,1.944,3.0,2.0,16.3,8.1317,0.0,8.318598,,14.653526735305785
3,8,940,7.658,0.606000000000001,6.0,3.0,16.3,7.2134,0.0,10.71427,,14.653526735305785
3,8,940,8.118,0.46,24.383,18.383,17.6,3.6832,0.1087,11.19512,,14.653526735305785
3,8,940,8.847,0.728999999999999,48.717,24.334,17.3,5.4994,0.0,13.386292,,14.653526735305785
3,8,940,8.1526,-0.6944,92.133,43.416,13.5,3.7343,0.12903,14.69457,,14.653526735305785
3,8,940,9.5498,1.3972,142.05,49.917,17.9,4.4893,0.0,18.94386,,14.653526735305785
3,8,949,1.6159,1.6159,1.0833,1.0833,9.0,8.4174,0.0,1.7040455,,14.653526735305785
3,8,949,4.4431,2.8272,3.0,1.9167,9.0,8.4174,0.0,4.4656353,,14.653526735305785
3,8,949,7.9501,3.507,6.0,3.0,9.0,8.4174,0.0,6.0342703,,14.653526735305785
3,8,949,8.9875,1.0374,25.167,19.167,7.0,5.1014,0.065934,8.971775,,14.653526735305785
3,8,949,9.3667,0.379199999999999,48.833,23.666,10.0,6.887,0.0,9.761535,,14.653526735305785
3,8,949,9.4625,0.0958000000000006,96.75,47.917,12.5,10.08,0.0,11.160288,,14.653526735305785
3,8,949,9.4625,0.0,145.5,48.75,12.0,4.979,0.0,12.002562,,14.653526735305785
3,8,955,0.54,0.54,1.0,1.0,10.0,5.1014,0.0,1.5025117,,14.653526735305785
3,8,955,1.796,1.256,3.2,2.2,10.0,5.1014,0.0,3.484068,,14.653526735305785
3,8,955,2.426,0.63,6.2,3.0,10.0,5.1014,0.0,5.2302594,,14.653526735305785
3,8,955,2.768,0.342,24.2,18.0,9.3,5.3871,0.47778,7.9108315,,14.653526735305785
3,8,955,2.8762,0.1082,51.25,27.05,9.0,5.3871,0.25878,8.563014,,14.653526735305785
3,8,955,3.243,0.3668,92.0,40.75,10.4,2.9792,0.044172,8.725368,,14.653526735305785
3,8,955,3.1902,-0.0528,144.83,52.83,9.3,2.1222,0.0,9.291873,,14.653526735305785
3,8,973,0.7409,0.7409,3.1,3.1,9.2,1.3,0.0,4.1919336,,14.653526735305785
3,8,973,0.9623,0.2214,5.8667,2.7667,10.8,1.19,0.0,6.1074066,,14.653526735305785
3,8,973,2.4263,1.464,24.367,18.5003,3.8,0.59,0.010929,8.166779,,14.653526735305785
3,8,973,2.9618,0.5355,49.9,25.533,8.8,0.97,0.0,10.547044,,14.653526735305785
3,8,973,3.7674,0.8056,71.2,21.3,9.2,1.18,0.0,11.87177,,14.653526735305785
3,8,973,4.0608,0.293400000000001,120.12,48.92,8.3,1.33,0.02045,10.850333,,14.653526735305785
3,8,973,4.8816,0.820799999999999,165.73,45.61,9.7,2.79,0.074561,10.990455,,14.653526735305785
3,8,979,2.5942,2.5942,3.4333,3.4333,21.2,1.31,0.0,6.588668,,14.653526735305785
3,8,979,6.0426,3.4484,18.233,14.7997,16.0,0.74,0.0,13.596025,,14.653526735305785
3,8,979,11.477,5.4344,44.267,26.034,15.8,2.04,0.0,17.005848,,14.653526735305785
3,8,979,12.97,1.493,68.0,23.733,16.3,2.26,0.0,17.08701,,14.653526735305785
3,8,979,13.996,1.026,122.07,54.07,17.5,1.58,0.0074074,17.834057,,14.653526735305785
3,8,979,14.458,0.462,164.2,42.13,16.1,2.25,0.014286,19.964458,,14.653526735305785
3,8,981,1.2015,1.2015,2.6667,2.6667,15.8,4.07,0.14815,4.439479,,14.653526735305785
3,8,981,2.5875,1.386,5.7,3.0333,16.2,3.57,0.0,7.3310986,,14.653526735305785
3,8,981,6.6454,4.0579,24.433,18.733,13.7,3.9,0.38503,9.7387295,,14.653526735305785
3,8,981,7.4518,0.8064,49.65,25.217,12.9,3.13,0.11111,10.82546,,14.653526735305785
3,8,981,8.36,0.908199999999999,73.65,24.0,12.1,2.95,0.066946,11.430965,,14.653526735305785
3,8,981,10.002,1.642,120.53,46.88,15.3,3.32,0.021322,9.746311,,14.653526735305785
3,8,981,10.1,0.097999999999999,169.7,49.17,16.9,2.6,0.07332,10.6630335,,14.653526735305785
3,8,987,5.332,5.332,4.3333,4.3333,12.8,4.13,0.0,6.1334543,,14.653526735305785
3,8,987,10.709,5.377,18.65,14.3167,10.2,3.18,0.055944,11.124537,,14.653526735305785
3,8,987,13.194,2.485,42.567,23.917,9.8,3.68,0.14226,13.557193,,14.653526735305785
3,8,987,14.712,1.518,67.917,25.35,9.2,3.21,0.0,14.249183,,14.653526735305785
3,8,987,14.945,0.233000000000001,114.47,46.553,10.7,2.27,0.0,15.423848,,14.653526735305785
3,8,987,15.824,0.879,166.2,51.73,11.2,3.75,0.0077369,17.977058,,14.653526735305785
3,8,995,1.1154,1.1154,3.25,3.25,16.4,3.52,0.0,5.499427,,14.653526735305785
3,8,995,2.6679,1.5525,23.95,20.7,11.6,1.76,0.0,12.569196,,14.653526735305785
3,8,995,3.3477,0.6798,44.617,20.667,13.5,1.63,0.0,14.095662,,14.653526735305785
3,8,995,3.4197,0.0720000000000001,68.65,24.033,16.1,1.61,0.0,11.492621,,14.653526735305785
3,8,995,3.7041,0.2844,116.1,47.45,14.2,1.83,0.0,11.1279955,,14.653526735305785
3,8,995,3.4651,-0.239,163.97,47.87,14.7,1.85,0.0,11.785315,,14.653526735305785
3,8,1012,20.912,20.912,3.3,3.3,20.7,3.31,0.0,6.4233017,,14.653526735305785
3,8,1012,30.472,9.56,7.3167,4.0167,20.8,3.65,0.0,11.582317,,14.653526735305785
3,8,1012,30.955,0.482999999999997,25.233,17.9163,13.2,1.32,0.0,15.56849,,14.653526735305785
3,8,1012,32.455,1.5,49.067,23.834,16.3,2.26,0.0,17.08964,,14.653526735305785
3,8,1012,34.444,1.989,72.55,23.483,17.2,1.9,0.0,19.549335,,14.653526735305785
3,8,1012,34.251,-0.193000000000005,120.7,48.15,16.5,1.44,0.016632,20.035536,,14.653526735305785
