sample,model,pmid,e.cum,delta_e.cum,ct,dt,air.temp,wind.2m,rain.rate,prediction_ecum,prediction_delta_ecum,running_time
8,1,185,4.418,4.418,6.5,6.5,11.62,8.13,0.0,2.7720191,,26.153288610776265
8,1,185,5.6186,1.2006,21.0,14.5,8.41,6.26,0.0,3.77615,,26.153288610776265
8,1,185,7.2675,1.6489,45.5,24.5,9.91,7.42,0.0,6.359327,,26.153288610776265
8,1,185,7.7018,0.4343,96.0,50.5,12.66,3.77,0.0,9.086227,,26.153288610776265
8,1,185,8.2469,0.5451,165.0,69.0,10.62,6.13,0.0,9.798282,,26.153288610776265
8,1,194,1.8792,1.8792,4.0,4.0,18.24,6.78,0.0,3.433744,,26.153288610776265
8,1,194,3.0557,1.1765,20.25,16.25,13.95,3.93,0.0,6.415729,,26.153288610776265
8,1,194,4.5353,1.4796,44.0,23.75,14.34,4.02,0.0,9.8192215,,26.153288610776265
8,1,194,5.2265,0.691199999999999,92.0,48.0,13.1,2.84,0.0020833,11.672167,,26.153288610776265
8,1,194,5.2773,0.0508000000000006,164.5,72.5,10.67,3.52,0.049655,13.038473,,26.153288610776265
8,1,201,-0.44683,-0.44683,1.4167,1.4167,3.7,2.6,0.0,1.0048559,,26.153288610776265
8,1,201,-0.35187,0.09496,5.0,3.5833,5.4,2.5,0.0,2.634992,,26.153288610776265
8,1,201,0.92481,1.27668,23.083,18.083,5.7,2.6,0.0,3.565859,,26.153288610776265
8,1,201,2.8836,1.95879,47.417,24.334,7.3,5.2,0.0,4.950992,,26.153288610776265
8,1,201,6.5594,3.6758,96.167,48.75,5.4,7.5,0.0020513,7.144809,,26.153288610776265
8,1,201,9.0318,2.4724,168.25,72.083,5.5,5.8,0.0055491,12.080479,,26.153288610776265
8,1,933,3.621,3.621,1.0,1.0,14.6,3.4996,1.8,2.0808008,,26.153288610776265
8,1,933,5.947,2.326,3.0,2.0,14.6,3.4996,0.0,3.624559,,26.153288610776265
8,1,933,7.4673,1.5203,6.1667,3.1667,14.6,3.4996,0.0,4.2253942,,26.153288610776265
8,1,933,15.425,7.9577,24.75,18.5833,17.1,4.1934,0.17347,8.407484,,26.153288610776265
8,1,933,17.831,2.406,48.667,23.917,20.4,5.6116,0.0,8.813094,,26.153288610776265
8,1,933,20.823,2.992,95.283,46.616,20.2,3.6832,0.87273,10.019524,,26.153288610776265
8,1,933,20.871,0.0479999999999983,143.4,48.117,19.0,4.2546,0.099174,9.741173,,26.153288610776265
8,1,957,0.85,0.85,1.0833,1.0833,14.0,16.1,2.4,0.4831,,26.153288610776265
8,1,957,2.354,1.504,3.0833,2.0,14.0,15.814,0.0,1.590791,,26.153288610776265
8,1,957,3.434,1.08,6.0833,3.0,14.0,16.784,0.0,2.3127017,,26.153288610776265
8,1,957,4.64,1.206,24.083,17.9997,14.0,5.6014,0.0,2.7626019,,26.153288610776265
8,1,957,6.272,1.632,48.5,24.417,16.0,14.141,0.0,3.11927,,26.153288610776265
8,1,957,8.0,1.728,98.917,50.417,17.0,28.374,0.045833,6.566851,,26.153288610776265
8,1,957,8.5604,0.5604,145.42,46.503,13.5,21.457,0.025696,6.3034062,,26.153288610776265
8,1,967,1.584,1.584,1.5,1.5,14.0,16.1,2.4,0.5423311,,26.153288610776265
8,1,967,3.95,2.366,3.25,1.75,14.0,15.814,0.0,1.5936155,,26.153288610776265
8,1,967,5.249,1.299,6.25,3.0,14.0,16.784,0.0,2.2924287,,26.153288610776265
8,1,967,6.347,1.098,24.25,18.0,14.0,5.6014,0.0,2.7491217,,26.153288610776265
8,1,967,7.883,1.536,48.25,24.0,16.0,14.141,0.0,3.1308377,,26.153288610776265
8,1,967,9.755,1.872,97.917,49.667,17.0,28.374,0.045833,6.594648,,26.153288610776265
8,1,967,10.27,0.514999999999999,144.75,46.833,13.5,21.457,0.025641,6.311095,,26.153288610776265
8,1,983,2.0412,2.0412,2.7,2.7,9.3,5.56,0.0,2.2273474,,26.153288610776265
8,1,983,3.8394,1.7982,6.4667,3.7667,10.0,4.89,0.0,4.0065145,,26.153288610776265
8,1,983,5.3706,1.5312,24.283,17.8163,7.0,3.62,0.27273,10.275282,,26.153288610776265
8,1,983,8.9066,3.536,50.35,26.067,9.4,6.79,0.0076923,18.50091,,26.153288610776265
8,1,983,10.255,1.3484,78.467,28.117,10.9,7.21,0.042705,23.38626,,26.153288610776265
8,1,983,12.367,2.112,121.58,43.113,10.0,5.79,0.083527,26.618923,,26.153288610776265
8,1,983,12.99,0.622999999999999,169.55,47.97,5.8,3.12,0.016701,31.679548,,26.153288610776265
8,1,985,1.8705,1.8705,2.85,2.85,9.8,5.51,0.0,2.2348874,,26.153288610776265
8,1,985,2.3361,0.4656,5.2667,2.4167,9.9,4.59,0.083333,3.9064548,,26.153288610776265
8,1,985,3.3405,1.0044,23.85,18.5833,6.8,3.56,0.24731,10.132084,,26.153288610776265
8,1,985,7.1713,3.8308,48.367,24.517,9.5,6.93,0.0081967,18.295494,,26.153288610776265
8,1,985,9.5233,2.352,76.4,28.033,10.9,7.21,0.042857,23.288671,,26.153288610776265
8,1,985,11.1,1.5767,120.22,43.82,10.0,5.79,0.082192,26.69153,,26.153288610776265
8,1,985,11.386,0.286,167.92,47.7,5.8,3.12,0.016771,31.527582,,26.153288610776265
8,1,992,0.6208,0.6208,3.1667,3.1667,14.5,2.78,0.0625,1.4159172,,26.153288610776265
8,1,992,1.57,0.9492,5.9167,2.75,15.2,3.72,0.0,2.8299358,,26.153288610776265
8,1,992,3.413,1.843,24.9,18.9833,12.4,3.18,0.12632,4.5766807,,26.153288610776265
8,1,992,4.3888,0.9758,48.817,23.917,12.1,2.95,0.067227,5.0043573,,26.153288610776265
8,1,992,5.0674,0.6786,72.25,23.433,14.2,3.96,0.042735,6.190746,,26.153288610776265
8,1,992,5.6927,0.6253,120.33,48.08,17.8,2.75,0.008316,7.509994,,26.153288610776265
8,1,992,6.0294,0.3367,168.42,48.09,13.6,2.66,0.08316,7.219273,,26.153288610776265
8,1,998,10.23,10.23,3.1,3.1,21.3,3.75,0.0,5.36435,,26.153288610776265
8,1,998,15.582,5.352,21.05,17.95,13.5,1.43,0.0,10.515687,,26.153288610776265
8,1,998,19.7,4.118,44.933,23.883,16.3,2.26,0.0,17.116528,,26.153288610776265
8,1,998,20.608,0.908000000000001,68.317,23.384,17.2,1.9,0.0,19.702297,,26.153288610776265
8,1,998,21.1,0.492000000000001,117.48,49.163,16.5,1.44,0.01626,15.423252,,26.153288610776265
8,1,998,21.428,0.327999999999999,164.25,46.77,18.6,2.2,0.0,14.368974,,26.153288610776265
8,1,1003,2.058,2.058,3.0,3.0,20.7,1.77,0.0,3.1426644,,26.153288610776265
8,1,1003,3.57,1.512,6.5,3.5,21.4,1.45,0.0,6.127302,,26.153288610776265
8,1,1003,7.1368,3.5668,21.25,14.75,16.0,0.74,0.0,8.279873,,26.153288610776265
8,1,1003,15.166,8.0292,47.167,25.917,15.8,2.04,0.0,13.467336,,26.153288610776265
8,1,1003,18.846,3.68,71.133,23.966,16.3,2.26,0.0,17.919638,,26.153288610776265
8,1,1003,20.427,1.581,123.83,52.697,17.5,1.58,0.0075901,20.820602,,26.153288610776265
8,1,1003,20.674,0.247,167.02,43.19,16.1,2.25,0.014599,21.74895,,26.153288610776265
8,1,1010,0.5248,0.5248,3.1833,3.1833,7.8,1.87,0.0,1.5778763,,26.153288610776265
8,1,1010,1.0784,0.5536,6.4667,3.2834,10.1,1.31,0.0,3.0972695,,26.153288610776265
8,1,1010,1.447,0.3686,25.933,19.4663,4.5,0.64,0.010309,5.130561,,26.153288610776265
8,1,1010,1.975,0.528,49.933,24.0,8.8,0.97,0.0,5.6943,,26.153288610776265
8,1,1010,3.3963,1.4213,73.217,23.284,9.2,1.18,0.0,6.4636674,,26.153288610776265
8,1,1010,3.3963,0.0,122.02,48.803,8.3,1.33,0.020534,7.2980466,,26.153288610776265
8,1,1010,5.6813,2.285,167.78,45.76,9.7,2.79,0.074398,7.692489,,26.153288610776265
8,1,1014,4.5873,4.5873,2.65,2.65,11.7,5.55,0.14815,1.8896501,,26.153288610776265
8,1,1014,6.6628,2.0755,6.15,3.5,8.9,3.73,0.28571,3.5013018,,26.153288610776265
8,1,1014,8.0548,1.392,23.517,17.367,7.5,2.72,0.32184,4.6042647,,26.153288610776265
8,1,1014,9.5353,1.4805,46.967,23.45,7.8,4.08,0.22979,7.339358,,26.153288610776265
8,1,1014,10.627,1.0917,74.233,27.266,7.9,3.34,0.007326,8.036986,,26.153288610776265
8,1,1014,11.458,0.831,117.92,43.687,11.4,2.98,0.2746,10.097061,,26.153288610776265
8,1,1014,12.398,0.94,164.93,47.01,12.2,2.91,0.23404,9.272087,,26.153288610776265
8,1,1136,27.336,27.336,24.0,24.0,24.46,1.8178,0.0,25.735788,,26.153288610776265
8,1,1136,27.361,0.0250000000000021,48.5,24.5,22.77,1.07,0.0,31.827196,,26.153288610776265
8,1,1136,28.159,0.797999999999998,72.0,23.5,22.01,1.093,0.0,30.814892,,26.153288610776265
8,1,1136,28.159,0.0,168.0,96.0,21.2,1.047,0.0,31.520079,,26.153288610776265
8,1,1150,2.1405,2.1405,1.5,1.5,12.7,7.4,0.0,2.4387853,,26.153288610776265
8,1,1150,8.065,5.9245,5.6,4.1,13.2,7.3,0.02439,5.759559,,26.153288610776265
8,1,1150,12.337,4.272,23.55,17.95,6.7,3.77,0.011142,10.984295,,26.153288610776265
8,1,1150,14.773,2.436,50.317,26.767,10.3,3.72,0.003736,14.3219795,,26.153288610776265
8,1,1150,15.746,0.973000000000001,71.933,21.616,11.6,5.14,0.30532,13.896659,,26.153288610776265
8,1,1150,16.758,1.012,144.23,72.297,10.7,2.93,0.02213,12.679733,,26.153288610776265
8,1,1150,17.507,0.749000000000002,167.65,23.42,11.4,2.53,0.034164,10.504284,,26.153288610776265
8,1,1162,4.348,4.348,2.0167,2.0167,13.25,2.7,0.0,2.8307533,,26.153288610776265
8,1,1162,8.313,3.965,6.0833,4.0666,12.75,4.2,0.0,4.3532977,,26.153288610776265
8,1,1162,10.251,1.938,23.083,16.9997,10.1,3.4,0.017647,8.673221,,26.153288610776265
8,1,1162,15.455,5.204,50.767,27.684,11.2,4.6,0.0,11.285141,,26.153288610776265
8,1,1162,19.011,3.556,71.683,20.916,15.3,8.4,0.0,15.405029,,26.153288610776265
8,1,1162,21.001,1.99,98.567,26.884,15.1,6.9,0.0037198,15.696558,,26.153288610776265
8,1,1162,23.251,2.25,166.77,68.203,10.9,6.2,0.0,15.746765,,26.153288610776265
8,1,1186,2.252,2.252,1.0,1.0,8.1,5.6436,0.0,2.2023063,,26.153288610776265
8,1,1186,5.7712,3.5192,5.15,4.15,7.5,5.6436,0.0,3.9738815,,26.153288610776265
8,1,1186,7.82,2.0488,22.367,17.217,3.9,3.6119,0.00058083,6.6200614,,26.153288610776265
8,1,1186,13.267,5.447,50.883,28.516,4.1,3.3109,0.00035067,10.055649,,26.153288610776265
8,1,1186,14.768,1.501,73.633,22.75,6.8,2.2574,0.0,12.028763,,26.153288610776265
8,1,1186,25.207,10.439,141.42,67.787,8.4,3.3109,0.0014753,16.412325,,26.153288610776265
