sample,model,n_parameters,pmid,e.cum,delta_e.cum,ct,dt,air.temp,wind.2m,rain.rate,prediction_ecum,prediction_delta_ecum,running_time
1,1,569450,185,1.35938461538462,1.35938461538462,2.0,2.0,11.62,8.13,0.0,2.2836602,2.2836602,89.25922422806421
1,1,569450,185,2.71876923076923,1.35938461538462,4.0,2.0,11.62,8.13,0.0,4.327199,2.0435386,89.25922422806421
1,1,569450,185,4.07815384615385,1.35938461538462,6.0,2.0,11.62,8.13,0.0,5.7877927,1.460594,89.25922422806421
1,1,569450,185,4.5422,0.464046153846153,8.0,2.0,11.2879310344828,7.93655172413793,0.0,6.346015,0.55822235,89.25922422806421
1,1,569450,185,4.7078,0.1656,10.0,2.0,10.8451724137931,7.67862068965517,0.0,6.789281,0.4432659,89.25922422806421
1,1,569450,185,4.8734,0.1656,12.0,2.0,10.4024137931034,7.42068965517241,0.0,7.093081,0.3037999,89.25922422806421
1,1,569450,185,5.039,0.1656,14.0,2.0,9.95965517241379,7.16275862068966,0.0,7.339547,0.24646634,89.25922422806421
1,1,569450,185,5.2046,0.1656,16.0,2.0,9.51689655172414,6.9048275862069,0.0,7.5838494,0.24430227,89.25922422806421
1,1,569450,185,5.3702,0.1656,18.0,2.0,9.07413793103448,6.64689655172414,0.0,7.870182,0.28633225,89.25922422806421
1,1,569450,185,5.5358,0.1656,20.0,2.0,8.63137931034483,6.38896551724138,0.0,8.187296,0.3171144,89.25922422806421
1,1,569450,185,5.68590204081633,0.150102040816327,22.0,2.0,8.47122448979592,6.30734693877551,0.0,8.492384,0.30508745,89.25922422806421
1,1,569450,185,5.82050612244898,0.134604081632653,24.0,2.0,8.59367346938776,6.40204081632653,0.0,8.746797,0.254413,89.25922422806421
1,1,569450,185,5.95511020408163,0.134604081632653,26.0,2.0,8.71612244897959,6.49673469387755,0.0,8.9515,0.2047031,89.25922422806421
1,1,569450,185,6.08971428571429,0.134604081632653,28.0,2.0,8.83857142857143,6.59142857142857,0.0,9.133453,0.18195349,89.25922422806421
1,1,569450,185,6.22431836734694,0.134604081632653,30.0,2.0,8.96102040816327,6.68612244897959,0.0,9.311152,0.17769879,89.25922422806421
1,1,569450,185,6.35892244897959,0.134604081632653,32.0,2.0,9.0834693877551,6.78081632653061,0.0,9.49032,0.17916864,89.25922422806421
1,1,569450,185,6.49352653061224,0.134604081632653,34.0,2.0,9.20591836734694,6.87551020408163,0.0,9.670326,0.18000603,89.25922422806421
1,1,569450,185,6.6281306122449,0.134604081632653,36.0,2.0,9.32836734693878,6.97020408163265,0.0,9.848844,0.17851669,89.25922422806421
1,1,569450,185,6.76273469387755,0.134604081632653,38.0,2.0,9.45081632653061,7.06489795918367,0.0,10.022691,0.17384726,89.25922422806421
1,1,569450,185,6.8973387755102,0.134604081632653,40.0,2.0,9.57326530612245,7.15959183673469,0.0,10.189847,0.1671567,89.25922422806421
1,1,569450,185,7.03194285714286,0.134604081632653,42.0,2.0,9.69571428571428,7.25428571428571,0.0,10.350233,0.16038597,89.25922422806421
1,1,569450,185,7.16654693877551,0.134604081632653,44.0,2.0,9.81816326530612,7.34897959183673,0.0,10.505256,0.15502197,89.25922422806421
1,1,569450,185,7.2718,0.10525306122449,46.0,2.0,9.93722772277228,7.38386138613861,0.0,10.654383,0.14912719,89.25922422806421
1,1,569450,185,7.289,0.0171999999999999,48.0,2.0,10.0461386138614,7.23930693069307,0.0,10.795908,0.14152527,89.25922422806421
1,1,569450,185,7.3062,0.0172000000000008,50.0,2.0,10.1550495049505,7.09475247524752,0.0,10.929256,0.13334846,89.25922422806421
1,1,569450,185,7.3234,0.0171999999999999,52.0,2.0,10.2639603960396,6.95019801980198,0.0,11.055535,0.12627935,89.25922422806421
