sample,model,n_parameters,pmid,e.cum,delta_e.cum,ct,dt,air.temp,wind.2m,rain.rate,prediction_ecum,prediction_delta_ecum,running_time
6,1,569450,186,3.0231746031746,3.0231746031746,2.0,2.0,17.48,3.7,0.0,1.8272798,1.8272798,89.50549806753794
6,1,569450,186,4.83247754491018,1.80930294173558,4.0,2.0,17.1741017964072,3.64248502994012,0.0,2.6627774,0.83549774,89.50549806753794
6,1,569450,186,4.99948353293413,0.167005988023952,6.0,2.0,16.4543413173653,3.50715568862275,0.0,3.4982753,0.83549774,89.50549806753794
6,1,569450,186,5.16648952095808,0.167005988023952,8.0,2.0,15.7345808383234,3.37182634730539,0.0,3.9026115,0.40433612,89.50549806753794
6,1,569450,186,5.33349550898204,0.167005988023952,10.0,2.0,15.0148203592814,3.23649700598802,0.0,4.1258993,0.22328788,89.50549806753794
6,1,569450,186,5.50050149700599,0.167005988023952,12.0,2.0,14.2950598802395,3.10116766467066,0.0,4.263891,0.13799196,89.50549806753794
6,1,569450,186,5.66750748502994,0.167005988023952,14.0,2.0,13.5752994011976,2.96583832335329,0.0,4.415681,0.15178978,89.50549806753794
6,1,569450,186,5.83451347305389,0.167005988023952,16.0,2.0,12.8555389221557,2.83050898203593,0.0,4.5933213,0.17764038,89.50549806753794
6,1,569450,186,6.00151946107784,0.167005988023952,18.0,2.0,12.1357784431138,2.69517964071856,0.0,4.771689,0.17836738,89.50549806753794
6,1,569450,186,6.174525,0.173005538922156,20.0,2.0,11.4814375,2.581375,0.0,4.9280653,0.1563763,89.50549806753794
6,1,569450,186,6.421525,0.247,22.0,2.0,11.6339375,2.73304166666667,0.0,5.0557075,0.12764227,89.50549806753794
6,1,569450,186,6.668525,0.247000000000001,24.0,2.0,11.7864375,2.88470833333333,0.0,5.1575866,0.101879,89.50549806753794
6,1,569450,186,6.915525,0.247,26.0,2.0,11.9389375,3.036375,0.0,5.24202,0.084433615,89.50549806753794
6,1,569450,186,7.162525,0.247,28.0,2.0,12.0914375,3.18804166666667,0.0,5.3194237,0.077403605,89.50549806753794
6,1,569450,186,7.409525,0.247,30.0,2.0,12.2439375,3.33970833333333,0.0,5.3984804,0.0790568,89.50549806753794
6,1,569450,186,7.656525,0.247,32.0,2.0,12.3964375,3.491375,0.0,5.482509,0.08402872,89.50549806753794
6,1,569450,186,7.903525,0.247,34.0,2.0,12.5489375,3.64304166666667,0.0,5.571769,0.08926028,89.50549806753794
6,1,569450,186,8.150525,0.246999999999999,36.0,2.0,12.7014375,3.79470833333333,0.0,5.6651387,0.093369305,89.50549806753794
6,1,569450,186,8.397525,0.247000000000002,38.0,2.0,12.8539375,3.946375,0.0,5.7611203,0.09598154,89.50549806753794
6,1,569450,186,8.644525,0.246999999999998,40.0,2.0,13.0064375,4.09804166666667,0.0,5.857451,0.09633058,89.50549806753794
6,1,569450,186,8.891525,0.247000000000002,42.0,2.0,13.1589375,4.24970833333333,0.0,5.9522552,0.09480435,89.50549806753794
6,1,569450,186,9.12577352941176,0.234248529411763,44.0,2.0,13.2987352941176,4.39411764705882,0.0,6.04304,0.09078443,89.50549806753794
6,1,569450,186,9.20275392156863,0.0769803921568641,46.0,2.0,13.2818725490196,4.44901960784314,0.0,6.1274056,0.08436608,89.50549806753794
6,1,569450,186,9.27973431372549,0.0769803921568624,48.0,2.0,13.2650098039216,4.50392156862745,0.0,6.204893,0.07748753,89.50549806753794
6,1,569450,186,9.35671470588235,0.0769803921568624,50.0,2.0,13.2481470588235,4.55882352941176,0.0,6.277057,0.07216388,89.50549806753794
6,1,569450,186,9.43369509803921,0.0769803921568624,52.0,2.0,13.2312843137255,4.61372549019608,0.0,6.3470864,0.0700295,89.50549806753794
