model,hidden_size,with_embeddings,min_mae_eval,sample,running_time
1,16,True,4.37995345015542,6,12.693625378608704
2,16,False,3.755852987755404,6,9.88082276582718
3,64,True,3.3100210055273775,6,12.678807930151622
4,64,False,3.7218912768385914,6,9.91337528626124
5,128,True,2.9937891809036516,6,12.597381496429444
6,128,False,3.433017896517988,6,9.985165445009867
7,256,True,3.014709388089705,6,12.792788954575856
8,256,False,3.2538816583815113,6,10.148689937591552
9,512,True,3.0309742532096893,6,16.986910959084828
10,512,False,3.0721010819014882,6,14.26314284404119
