model,hidden_size,with_embeddings,min_mae_eval,sample,running_time
1,16,True,4.185486134300514,3,12.726370724042257
2,16,False,4.182217196335863,3,9.927004555861155
3,64,True,2.902722796714509,3,12.861684509118398
4,64,False,3.5493855949889133,3,10.004286205768585
5,128,True,2.868405652545589,3,12.753201552232106
6,128,False,3.4125301023853933,3,10.042414152622223
7,256,True,2.78437029804248,3,12.883356833457947
8,256,False,3.012372137366102,3,10.135552855332692
9,512,True,2.7568024321413196,3,16.12357941865921
10,512,False,2.8342711936766443,3,13.314807891845703
