model,hidden_size,with_embeddings,min_mae_eval,sample,running_time
1,16,True,4.601865955075243,0,12.66758496761322
2,16,False,4.76575252137659,0,9.733026838302612
3,64,True,3.995941797987978,0,12.459143241246542
4,64,False,4.2064857547715615,0,9.82066292365392
5,128,True,3.7494344872776266,0,12.552695759137471
6,128,False,4.131857138275245,0,9.993097221851349
7,256,True,3.729710295616616,0,12.933489827315013
8,256,False,3.7051783650955814,0,10.783890028794607
9,512,True,3.5161775924886483,0,16.869154036045074
10,512,False,3.7077292613984016,0,13.90183511575063
