model,hidden_size,with_embeddings,min_mae_eval,sample,running_time
1,16,True,3.9744128378474928,5,12.822527329126993
2,16,False,4.890376616863545,5,9.707242914040883
3,64,True,4.1662811015270735,5,12.647543446222942
4,64,False,4.293120699116849,5,10.037076644102733
5,128,True,4.275399282223882,5,12.709847795963288
6,128,False,4.322510484782257,5,10.009945229689281
7,256,True,4.046384930221947,5,12.879125821590424
8,256,False,4.2519199186184675,5,10.191280579566955
9,512,True,3.587655465972653,5,17.08633445898692
10,512,False,3.9593913352238728,5,14.217365996042888
