model,hidden_size,with_embeddings,min_mae_eval,sample,running_time
1,16,True,5.2487899800245,4,12.739768222967784
2,16,False,4.663495993415051,4,9.930127604802449
3,64,True,3.6805378165733615,4,12.769813907146453
4,64,False,4.305965835695033,4,9.986607364813487
5,128,True,3.664318158856266,4,12.65327597061793
6,128,False,4.1480019424659655,4,10.001762572924296
7,256,True,3.705820199087476,4,12.832698726654053
8,256,False,3.799968366966915,4,10.155344959100088
9,512,True,3.615854623995155,4,17.079516541957855
10,512,False,3.7776481272167106,4,14.265251946449279
