model,hidden_size,with_embeddings,min_mae_eval,sample,running_time
1,16,True,6.964780831252543,1,13.337979602813721
2,16,False,5.710305107313754,1,10.65157806078593
3,64,True,5.334049012528394,1,13.50135580698649
4,64,False,5.6641419082906435,1,10.377109595139821
5,128,True,4.9570030195262085,1,13.50195574760437
6,128,False,5.226401101156088,1,10.5741641163826
7,256,True,4.922004267393536,1,13.478223105271658
8,256,False,5.516263997914071,1,11.045388917128244
9,512,True,4.850958108485459,1,16.526700854301453
10,512,False,5.259195392967206,1,13.792213296890258
