model,hidden_size,with_embeddings,min_mae_eval,sample,running_time
1,16,True,5.918172320604314,10,13.074849569797516
2,16,False,5.6145934965773945,10,9.749984872341155
3,64,True,4.083788985289982,10,13.067939861615498
4,64,False,4.741183981690252,10,9.592238839467367
5,128,True,3.6460387290692533,10,12.89074897368749
6,128,False,4.493534270353057,10,9.879213245709737
7,256,True,3.386820939689371,10,13.048148461182912
8,256,False,4.494904721842412,10,10.024780734380085
9,512,True,3.41206304537336,10,17.649748277664184
10,512,False,4.320116246257681,10,14.375262665748597
