model,hidden_size,with_embeddings,min_mae_eval,sample,running_time
1,16,True,4.106264228886085,2,13.100449415047963
2,16,False,4.462390340511815,2,10.226339928309123
3,64,True,3.637236190110848,2,13.329475080966949
4,64,False,4.1235487869875405,2,10.467057379086812
5,128,True,3.701853160547875,2,13.233504676818848
6,128,False,3.7211633517134284,2,10.430727891127269
7,256,True,3.545759026999857,2,13.307728624343872
8,256,False,3.5778074706232155,2,10.665567429860433
9,512,True,3.3583698517755245,2,16.81152657667796
10,512,False,3.5626468525325583,2,13.723801000912983
