model,hidden_size,with_embeddings,min_mae_eval,sample,running_time
1,16,True,4.483349170315615,7,14.38940319220225
2,16,False,5.642906156222158,7,10.613582623004913
3,64,True,4.3673232523366625,7,13.822383411725362
4,64,False,4.778049180823534,7,10.390144940217336
5,128,True,4.181666104746996,7,13.978382289409637
6,128,False,4.526069998286789,7,9.912233583132426
7,256,True,4.116601420857479,7,13.214250373840333
8,256,False,3.818853091025525,7,9.89213791290919
9,512,True,4.015623968569067,7,17.495352152983347
10,512,False,3.359706497399315,7,14.379589192072551
