model,hidden_size,with_embeddings,min_mae_eval,sample,running_time
1,16,True,4.2341955923979455,13,12.894983724753063
2,16,False,5.289533020720511,13,9.8211510181427
3,64,True,4.2371193674412275,13,13.12588514884313
4,64,False,4.405272704603621,13,9.810949881871542
5,128,True,3.9065115520906435,13,13.12503521045049
6,128,False,4.277396521500861,13,9.894609586397808
7,256,True,4.010691523176044,13,13.286095341046652
8,256,False,3.9741959725968203,13,9.985471665859222
9,512,True,4.032228628894438,13,17.82744414806366
10,512,False,3.579500375199276,13,14.383276601632437
