model,hidden_size,with_embeddings,min_mae_eval,sample,running_time
1,16,True,5.224270740859782,9,12.38594532807668
2,16,False,5.14779830843741,9,9.593367330233256
3,64,True,4.071631362354509,9,12.395670557022095
4,64,False,4.591986493436216,9,9.746184281508128
5,128,True,3.9856933569204362,9,12.365749414761861
6,128,False,4.45558198845221,9,9.70046062072118
7,256,True,3.657155106289955,9,12.484175360202789
8,256,False,3.758993508678736,9,9.887756419181823
9,512,True,3.679840920538039,9,15.668183926741282
10,512,False,3.6287019675096928,9,13.01464865207672
