model,hidden_size,with_embeddings,min_mae_eval,sample,running_time
1,16,True,5.434360339493918,11,13.050845444202423
2,16,False,6.533760257041411,11,9.796832966804505
3,64,True,5.566284718788093,11,13.078830309708913
4,64,False,5.715251524898464,11,9.735028835137685
5,128,True,5.545058341512223,11,13.039807665348054
6,128,False,5.838688067791329,11,9.930543557802837
7,256,True,5.30763462620404,11,13.413404750823975
8,256,False,4.787357219572609,11,9.849292679627736
9,512,True,4.869944225107273,11,17.545320761203765
10,512,False,5.310439131701646,11,14.262821273008983
