model,hidden_size,with_embeddings,min_mae_eval,sample,running_time
1,16,True,3.862518001486822,14,12.751937766869863
2,16,False,4.355374480738139,14,9.677222649256388
3,64,True,3.5372402294772014,14,13.041080911954245
4,64,False,3.9174905607980337,14,9.854113113880157
5,128,True,3.296099810722494,14,13.130758825937907
6,128,False,3.68585641952798,14,9.858500762780507
7,256,True,3.6248983697583226,14,13.38210973739624
8,256,False,3.5203553486076227,14,10.020910155773162
9,512,True,3.4573232331831085,14,17.5329864581426
10,512,False,3.4259174260881053,14,14.45044999519984
