model,hidden_size,with_embeddings,min_mae_eval,sample,running_time
1,16,True,4.348758580413485,8,12.391637853781383
2,16,False,6.013575976034584,8,9.72561618089676
3,64,True,4.6594947181428426,8,12.590730424722036
4,64,False,5.263677308695626,8,9.825502181053162
5,128,True,4.3910226126822955,8,12.455632134278614
6,128,False,5.008626033992251,8,9.809519902865093
7,256,True,4.555548972712618,8,12.670188236236573
8,256,False,4.356403929758815,8,9.929001625378927
9,512,True,4.387510677245266,8,15.596761926015217
10,512,False,4.426008052612963,8,12.96070906718572
