sample,model,n_parameters,pmid,e.cum,delta_e.cum,ct,dt,air.temp,wind.2m,rain.rate,prediction_ecum,prediction_delta_ecum,running_time
1,1,570474,955,2.426,0.63,6.2,3.0,10.0,5.1014,0.0,6.9200587,2.0965543,266.93321129878365
1,1,570474,955,2.768,0.342,24.2,18.0,9.3,5.3871,0.47778,8.258488,1.3384292,266.93321129878365
1,1,570474,955,2.8762,0.1082,51.25,27.05,9.0,5.3871,0.25878,8.334791,0.076303065,266.93321129878365
1,1,570474,955,3.243,0.3668,92.0,40.75,10.4,2.9792,0.044172,8.038739,-0.29605192,266.93321129878365
1,1,570474,955,3.1902,-0.0528,144.83,52.83,9.3,2.1222,0.0,8.244894,0.20615458,266.93321129878365
1,1,570474,988,3.2528,3.2528,3.8333,3.8333,12.1,3.05,0.0,2.4841766,2.4841766,266.93321129878365
1,1,570474,988,8.0108,4.758,23.45,19.6167,10.9,3.17,0.0,7.8301115,5.345935,266.93321129878365
1,1,570474,988,9.4622,1.4514,48.133,24.683,10.0,3.48,0.065041,9.223312,1.3932011,266.93321129878365
1,1,570474,988,9.5315,0.0693000000000001,71.283,23.15,10.9,3.76,0.42424,9.73682,0.5135078,266.93321129878365
1,1,570474,988,9.582,0.0505000000000013,121.8,50.517,8.4,3.49,0.035644,9.6786175,-0.05820334,266.93321129878365
1,1,570474,988,9.6686,0.0865999999999989,165.13,43.33,7.1,2.59,0.1709,9.3825655,-0.29605192,266.93321129878365
1,1,570474,999,2.0575,2.0575,2.5333,2.5333,13.5,3.52,0.0,0.8220716,0.8220716,266.93321129878365
1,1,570474,999,4.9883,2.9308,5.9333,3.4,15.6,3.74,0.0,3.0068505,2.184779,266.93321129878365
1,1,570474,999,7.9043,2.916,23.917,17.9837,10.8,1.41,0.0,4.5308785,1.5240281,266.93321129878365
1,1,570474,999,11.178,3.2737,50.317,26.4,14.2,2.09,0.0,5.454345,0.9234666,266.93321129878365
1,1,570474,999,12.162,0.984,74.4,24.083,16.1,1.61,0.0,6.2156467,0.7613017,266.93321129878365
1,1,570474,999,12.673,0.510999999999999,121.0,46.6,14.2,1.83,0.0,6.826282,0.6106351,266.93321129878365
1,1,570474,999,13.16,0.487,169.75,48.75,14.7,1.85,0.0,7.3451643,0.5188823,266.93321129878365
1,1,570474,1005,7.0592,7.0592,3.1667,3.1667,11.8,5.39,0.3125,2.0354946,2.0354946,266.93321129878365
1,1,570474,1005,10.143,3.0838,5.0833,1.9166,12.2,5.47,0.73684,2.9834828,0.9479882,266.93321129878365
1,1,570474,1005,17.995,7.852,20.0,14.9167,11.6,5.56,0.18792,4.1302347,1.1467516,266.93321129878365
1,1,570474,1005,21.88,3.885,45.933,25.933,8.6,3.53,0.27027,4.693751,0.56351656,266.93321129878365
1,1,570474,1005,21.068,-0.811999999999998,70.5,24.567,7.8,4.08,0.21951,4.861794,0.16804308,266.93321129878365
1,1,570474,1005,21.416,0.347999999999999,120.07,49.57,10.4,3.79,0.22177,5.0620613,0.20026726,266.93321129878365
1,1,570474,1005,21.328,-0.088000000000001,164.08,44.01,11.7,2.49,0.18182,4.7660093,-0.29605192,266.93321129878365
1,1,570474,1007,2.517,2.517,3.0167,3.0167,8.9,4.43,0.0,2.2879136,2.2879136,266.93321129878365
1,1,570474,1007,13.74,11.223,24.0,20.9833,9.6,7.45,0.0095694,11.831524,9.543611,266.93321129878365
1,1,570474,1007,22.99,9.25,52.217,28.217,10.9,7.21,0.042553,17.7611,5.929576,266.93321129878365
1,1,570474,1007,23.903,0.913,72.583,20.366,10.3,5.81,0.098522,18.681488,0.9203885,266.93321129878365
1,1,570474,1007,25.495,1.592,119.42,46.837,6.9,3.99,0.055556,18.824492,0.14300328,266.93321129878365
1,1,570474,1007,25.065,-0.43,167.12,47.7,8.7,3.29,0.062893,19.47114,0.64664763,266.93321129878365
1,1,570474,1013,0.9152,0.9152,2.6167,2.6167,16.1,3.79,0.0,0.89617795,0.89617795,266.93321129878365
1,1,570474,1013,2.6802,1.765,5.2,2.5833,16.6,4.53,0.0,2.299649,1.403471,266.93321129878365
1,1,570474,1013,6.9722,4.292,23.7,18.5,13.4,3.75,0.4,4.4337897,2.1341407,266.93321129878365
1,1,570474,1013,9.4442,2.472,47.717,24.017,12.9,3.13,0.11667,5.164738,0.7309485,266.93321129878365
1,1,570474,1013,10.615,1.1708,71.617,23.9,12.1,2.95,0.066946,5.811459,0.6467207,266.93321129878365
1,1,570474,1013,12.166,1.551,118.6,46.983,15.3,3.32,0.021277,7.0218277,1.2103686,266.93321129878365
1,1,570474,1013,12.362,0.196,167.63,49.03,16.9,2.6,0.073469,7.1332574,0.11142981,266.93321129878365
1,1,570474,1136,27.336,27.336,24.0,24.0,24.46,1.8178,0.0,20.830652,20.830652,266.93321129878365
1,1,570474,1136,27.361,0.0250000000000021,48.5,24.5,22.77,1.07,0.0,24.124376,3.2937233,266.93321129878365
1,1,570474,1136,28.159,0.797999999999998,72.0,23.5,22.01,1.093,0.0,23.828323,-0.29605192,266.93321129878365
1,1,570474,1136,28.159,0.0,168.0,96.0,21.2,1.047,0.0,23.659601,-0.16872256,266.93321129878365
1,1,570474,1152,0.57474,0.57474,1.5833,1.5833,10.7,3.2,0.0,1.2596271,1.2596271,266.93321129878365
1,1,570474,1152,1.4717,0.89696,5.4167,3.8334,12.6,3.6,0.0,2.7773576,1.5177305,266.93321129878365
1,1,570474,1152,2.0396,0.5679,25.0,19.5833,9.7,2.4,0.0,3.8729608,1.0956032,266.93321129878365
1,1,570474,1152,3.0196,0.98,49.5,24.5,15.1,3.8,0.26122,4.94944,1.0764792,266.93321129878365
1,1,570474,1152,3.7378,0.7182,72.667,23.167,14.0,5.1,0.060432,5.4451494,0.4957096,266.93321129878365
1,1,570474,1152,4.2161,0.4783,96.583,23.916,13.6,5.5,0.025087,6.2815843,0.83643466,266.93321129878365
1,1,570474,1152,4.8586,0.6425,146.0,49.417,11.6,4.0,0.27521,7.0388966,0.7573125,266.93321129878365
1,1,570474,1155,0.50416,0.50416,1.8333,1.8333,10.7,3.2,0.0,1.0391052,1.0391052,266.93321129878365
1,1,570474,1155,1.2167,0.71254,6.0,4.1667,12.6,3.6,0.0,1.987644,0.94853884,266.93321129878365
1,1,570474,1155,1.6787,0.462,25.25,19.25,9.7,2.4,0.0,2.6722338,0.68458974,266.93321129878365
1,1,570474,1155,2.1703,0.4916,49.833,24.583,15.1,3.8,0.26034,3.2117684,0.5395347,266.93321129878365
1,1,570474,1155,2.4261,0.2558,73.083,23.25,14.0,5.1,0.060215,3.5274117,0.3156432,266.93321129878365
1,1,570474,1155,2.8805,0.4544,97.0,23.917,13.6,5.5,0.025087,3.8386354,0.3112238,266.93321129878365
1,1,570474,1155,3.2223,0.3418,145.83,48.83,11.6,4.0,0.2785,4.096581,0.25794572,266.93321129878365
1,1,570474,1192,0.173,0.173,1.0,1.0,8.1,5.4179,0.0,0.88820225,0.88820225,266.93321129878365
1,1,570474,1192,2.4438,2.2708,5.0333,4.0333,7.8,5.5684,0.0,2.341971,1.4537687,266.93321129878365
1,1,570474,1192,3.5579,1.1141,23.917,18.8837,4.1,3.6872,0.00052957,3.8641932,1.5222223,266.93321129878365
1,1,570474,1192,5.0301,1.4722,52.783,28.866,4.3,3.3109,0.00034642,4.6737943,0.8096011,266.93321129878365
1,1,570474,1192,5.6792,0.6491,75.167,22.384,6.8,2.2574,0.0,5.585718,0.9119236,266.93321129878365
1,1,570474,1192,6.0171,0.3379,142.75,67.583,8.4,3.3109,0.0014797,6.183982,0.59826386,266.93321129878365
1,1,570474,1208,2.484,2.484,1.0,1.0,16.0,3.4375,0.0,3.1384687,3.1384687,266.93321129878365
1,1,570474,1208,8.1602,5.6762,4.95,3.95,16.3,3.73,0.0,12.453283,9.314815,266.93321129878365
