"","e.cum","e.rel","pmid","meas.tech","country","inst","ct","tan.app","app.rate","man.dm","man.ph","man.source","t.incorp","air_temp_1","air_temp_2","air_temp_3","air_temp_4","air_temp_5","air_temp_6","wind.2m_1","wind.2m_2","wind.2m_3","wind.2m_4","wind.2m_5","wind.2m_6","rain.rate_1","rain.rate_2","rain.rate_3","rain.rate_4","rain.rate_5","rain.rate_6","app.mthd_bc","app.mthd_bsth","app.mthd_ts","app.mthd_os","incorp_none","incorp_shallow"
"1",16.419,0.134460732126771,182,"micro met","DK",104,164.99,122.11,31.8,3.7,7.35,0,1000,8.2,7.6485294117647,6.76617647058823,5.88382352941176,5.00147058823529,9.38908970230517,8.1,7.49411764705882,6.52470588235294,5.55529411764706,4.58588235294118,5.34022950727307,0,0,0,0,0,0.0476787970423563,1,0,0,0,1,0
"2",6.9332,0.118882030178326,183,"micro met","DK",104,163.2,58.32,21.6,2.8,7.71,0,1000,13.77,13.5687931034483,12.5627586206897,11.4896551724138,10.4165517241379,10.0065929487179,4.31,4.26189655172414,4.02137931034483,3.7648275862069,3.50827586206897,4.14141483918129,0,0,0,0,0,0,0,1,0,0,1,0
"3",12.965,0.164773016115093,184,"micro met","DK",104,164.15,78.684,24.9,3.4,7.61,0,1000,11.15,10.8984,10.1798666666667,9.45453333333333,8.7292,11.116678752152,8.27,8.0813,7.5424,6.9984,6.4544,5.48119171084021,0,0,0,0,0,0.00250866343924108,1,0,0,0,1,0
"4",8.2469,0.131069612205976,185,"micro met","DK",104,165,62.92,24.2,2.7,7.58,0,1000,11.62,11.5093103448276,10.7344827586207,9.84896551724138,8.96344827586207,11.0826665784101,8.13,8.06551724137931,7.61413793103448,7.09827586206897,6.58241379310345,5.50246584123578,0,0,0,0,0,0,0,1,0,0,1,0
"5",11.083,0.19421031419209,186,"micro met","DK",104,165.85,57.067,38.3,5.2,6.7,0,1000,17.4035254491018,16.2744011976048,14.834880239521,13.3953592814371,11.9721932073353,11.9504490582192,3.68562125748503,3.47332335329341,3.20266467065868,2.93200598802395,2.66672848053892,5.01411729452055,0,0,0,0,0,0.0516127910958904,1,0,0,0,1,0
"6",8.5522,0.183378004588631,187,"micro met","DK",104,166.25,46.637,31.3,5.2,6.7,0,1000,16.98,16.3220895522388,15.0062686567164,13.690447761194,12.3746268656716,11.9344199918773,3.64,3.51223880597015,3.25671641791045,3.00119402985075,2.74567164179104,4.98970047720581,0,0,0,0,0,0.0521254761904762,0,1,0,0,1,0
"7",16.195,0.128982159923543,188,"micro met","DK",104,167.5,125.56,34.4,6.9,7.01,0,1000,6.17,5.98370967741936,5.55790322580645,5.13209677419355,4.70629032258065,6.25239947059072,7.02,6.93626344086021,6.74486559139785,6.55346774193548,6.36206989247312,4.96158534288944,0.54737,0.504469408602151,0.406410913978495,0.308352419354839,0.210293924731183,0.0838193039237249,1,0,0,0,1,0
"8",18.696,0.223676496979123,189,"micro met","DK",104,165.25,83.585,22.9,6.9,7.01,0,1000,6.16348684210526,5.88342105263158,5.46657894736842,5.04973684210526,4.63289473684211,6.26198990627253,7.01707236842105,6.89118421052632,6.70381578947368,6.51644736842105,6.32907894736842,4.95614455659697,0.691343631578947,0.605929789473684,0.478802210526316,0.351674631578947,0.224547052631579,0.0844014399783706,0,1,0,0,1,0
"9",18.895,0.17217969746674,190,"micro met","DK",104,166.5,109.74,31.9,4.2,6.97,0,1000,12.52,12.101935483871,11.3587096774194,10.6154838709677,9.88596231389578,10.7998982254286,4.02,3.89516129032258,3.67322580645161,3.45129032258065,3.23837546526055,6.2922232729582,0.047059,0.0402278548387097,0.0280835967741935,0.0159393387096774,0.00512204621588089,0.175520850326988,1,0,0,0,1,0
"10",10.545,0.0979381443298969,191,"micro met","DK",104,165.8,107.67,31.3,4.2,6.97,0,1000,12.52,12.1112258064516,11.368,10.6247741935484,9.8925117866005,10.7971733403583,4.02,3.89793548387097,3.676,3.45406451612903,3.23934553349876,6.28470706006322,0.046512,0.0399102967741935,0.0279072,0.0159041032258065,0.00496081439205955,0.176530143308746,0,1,0,0,1,0
"11",15.513,0.156602059357965,192,"micro met","DK",104,166.75,99.06,26,3.3,7.48,0,1000,8.51,8.25356617647059,7.21073529411765,6.11661764705882,5.0225,9.37475390156062,7.89,7.66003676470588,6.72485294117647,5.74367647058823,4.7625,5.35539615846339,0,0,0,0,0,0.0906548163265306,0,1,0,0,1,0
"12",10.809,0.0890069169960474,193,"micro met","DK",104,164.05,121.44,30.9,3.5,7.66,0,1000,18.24,17.5196875,16.3671875,15.2146875,14.0621875,12.8365960577031,6.78,6.3128125,5.5653125,4.8178125,4.0703125,3.38694504176669,0,0,0,0,0,0.0137796558695713,1,0,0,0,1,0
"13",5.2773,0.0557824639289678,194,"micro met","DK",104,164.5,94.605,26.5,3.5,7.64,0,1000,18.24,17.58,16.524,15.468,14.412,12.8507205457163,6.78,6.34153846153846,5.64,4.93846153846154,4.23692307692308,3.39402022654734,0,0,0,0,0,0.0136212796884661,0,1,0,0,1,0
"14",18.5,0.169119663588993,195,"micro met","DK",104,162.9,109.39,30.9,3.1,7.53,0,1000,11.82,11.5177540106952,10.8460962566845,10.1744385026738,9.5027807486631,11.8844404420697,7.47,7.40069518716578,7.24668449197861,7.09267379679144,6.93866310160428,5.8282491749792,0,0,0,0,0,0.0477052316831683,1,0,0,0,1,0
