sample,model,pmid,e.cum,ct,prediction_ecum,running_time
5,6,182,16.419,164.99,27.896927,4.647801518440247
5,6,188,16.195,167.5,33.037964,4.647801518440247
5,6,207,14.106,170.33,23.955694,4.647801518440247
5,6,927,8.904,142.0,10.219528,4.647801518440247
5,6,930,8.4867,143.83,14.872929,4.647801518440247
5,6,935,15.274,142.85,16.591106,4.647801518440247
5,6,958,6.2404,146.5,7.9553723,4.647801518440247
5,6,971,10.254,144.0,8.293079,4.647801518440247
5,6,979,14.458,164.2,22.221117,4.647801518440247
5,6,982,31.749,172.58,11.355972,4.647801518440247
5,6,1002,6.895,165.05,10.014626,4.647801518440247
5,6,1007,25.065,167.12,34.324356,4.647801518440247
5,6,1017,33.838,166.82,28.304329,4.647801518440247
5,6,1120,29.64,168.0,42.7064,4.647801518440247
5,6,1149,20.455,168.08,10.852808,4.647801518440247
5,6,1154,7.9911,145.92,8.9357605,4.647801518440247
5,6,1194,11.622,144.22,10.005165,4.647801518440247
5,6,1201,8.7937,146.65,5.2633443,4.647801518440247
5,6,1202,20.546,145.95,21.684107,4.647801518440247
5,6,1220,16.383,166.97,14.27652,4.647801518440247
5,6,1235,6.4893,142.22,11.008024,4.647801518440247
5,6,1237,5.1758,139.35,7.502004,4.647801518440247
5,6,1242,6.1691,142.1,7.7788467,4.647801518440247
5,6,1248,5.6782,138.48,6.6966367,4.647801518440247
5,6,1341,9.7775,54.6,5.595506,4.647801518440247
5,6,1461,1.0509,47.3,3.4554105,4.647801518440247
5,6,1473,0.86263,30.017,3.3044763,4.647801518440247
5,6,1474,0.72188,29.533,2.407311,4.647801518440247
5,6,1483,15.484,44.45,12.072588,4.647801518440247
5,6,1484,10.49,46.983,12.9331455,4.647801518440247
5,6,1524,5.73409,176.0,32.159264,4.647801518440247
5,6,1533,0.0962,94.017,13.212322,4.647801518440247
5,6,1695,26.417,167.97,17.754402,4.647801518440247
5,6,1702,40.044,168.1,45.96899,4.647801518440247
5,6,1707,34.223,167.96,31.44491,4.647801518440247
5,6,1711,19.012,24.05,16.132818,4.647801518440247
5,6,1749,12.55,168.12,15.589827,4.647801518440247
5,6,2233,40.65634943788,129.83,41.954422,4.647801518440247
5,6,2445,3.8798,144.13,8.753586,4.647801518440247
5,6,2446,0.088439,143.7,9.376413,4.647801518440247
5,6,2455,1.9381,145.5,4.311295,4.647801518440247
5,6,2536,20.458,95.367,11.390749,4.647801518440247
5,6,2568,26.48,96.6,21.201107,4.647801518440247
5,6,2578,24.557,68.267,15.806461,4.647801518440247
5,6,2783,12.647,94.017,7.8085694,4.647801518440247
5,6,2785,9.0231,93.8,4.7413387,4.647801518440247
5,6,2797,12.426,46.7,11.578583,4.647801518440247
5,6,2813,5.1048,47.533,12.186127,4.647801518440247
5,6,2831,8.0472,58.133,13.147705,4.647801518440247
5,6,2834,3.2453,69.867,2.3374686,4.647801518440247
5,6,2835,13.748,31.183,8.566313,4.647801518440247
5,6,2836,10.973,31.883,8.698339,4.647801518440247
5,6,2848,9.2466,56.5,13.066566,4.647801518440247
5,6,2849,2.7917,57.467,3.145451,4.647801518440247
5,6,2856,11.365,94.833,6.1661716,4.647801518440247
5,6,3118,26.376,94.4,45.67934,4.647801518440247
5,6,3150,90.654,95.7,36.565228,4.647801518440247
5,6,3182,15.223,56.5,41.503704,4.647801518440247
5,6,3189,19.471,95.7,31.484955,4.647801518440247
5,6,3195,16.271,92.7,16.47396,4.647801518440247
5,6,3204,69.142,70.3,86.44364,4.647801518440247
5,6,3213,10.591,95.4,9.216789,4.647801518440247
5,6,3215,10.528,93.6,10.553413,4.647801518440247
5,6,3225,22.904,94.7,18.200453,4.647801518440247
5,6,3235,29.096,54.4,24.046515,4.647801518440247
5,6,3241,39.695,95.8,38.78693,4.647801518440247
5,6,3242,9.0332,95.2,3.6487274,4.647801518440247
5,6,3245,2.6718,96.5,10.067114,4.647801518440247
5,6,3300,27.052,96.033,28.08319,4.647801518440247
5,6,3305,20.567,99.45,9.246239,4.647801518440247
5,6,3325,5.0531,97.967,2.0772824,4.647801518440247
5,6,3327,16.702,98.183,16.222334,4.647801518440247
5,6,3338,11.142,96.017,6.6520257,4.647801518440247
5,6,3360,16.928,95.367,11.28908,4.647801518440247
