sample,model,pmid,e.cum,ct,prediction_ecum,running_time
0,7,195,18.5,162.9,24.927477,3.639764622847239
0,7,196,4.5944,162.85,14.867575,3.639764622847239
0,7,200,5.1117,165.17,11.066802,3.639764622847239
0,7,927,8.904,142.0,14.757109,3.639764622847239
0,7,940,9.5498,142.05,14.786393,3.639764622847239
0,7,957,8.5604,145.42,5.985168,3.639764622847239
0,7,958,6.2404,146.5,12.250905,3.639764622847239
0,7,965,16.503,147.42,14.007895,3.639764622847239
0,7,972,10.651,144.67,16.220247,3.639764622847239
0,7,982,31.749,172.58,22.687796,3.639764622847239
0,7,984,13.46,167.78,17.61305,3.639764622847239
0,7,1008,17.127,169.32,21.647984,3.639764622847239
0,7,1009,17.948,161.75,13.628427,3.639764622847239
0,7,1132,26.04,168.5,23.347998,3.639764622847239
0,7,1155,3.2223,145.83,7.784102,3.639764622847239
0,7,1159,3.6862,174.35,7.0190806,3.639764622847239
0,7,1192,6.0171,142.75,8.020762,3.639764622847239
0,7,1194,11.622,144.22,13.841296,3.639764622847239
0,7,1200,4.832,146.65,9.853446,3.639764622847239
0,7,1211,17.783,165.02,12.654903,3.639764622847239
0,7,1221,14.453,166.97,20.570663,3.639764622847239
0,7,1227,25.605,141.07,21.320004,3.639764622847239
0,7,1228,12.549,142.95,15.260439,3.639764622847239
0,7,1408,7.809,47.367,13.719841,3.639764622847239
0,7,1457,1.3532,26.2,-2.40885,3.639764622847239
0,7,1458,3.4425,49.517,9.6672325,3.639764622847239
0,7,1471,4.0129,48.767,7.9176764,3.639764622847239
0,7,1475,8.2036,54.333,18.97713,3.639764622847239
0,7,1491,4.4883,43.517,6.8615317,3.639764622847239
0,7,1506,0.143,176.0,5.2716064,3.639764622847239
0,7,1527,4.25499,170.0,8.076744,3.639764622847239
0,7,1534,7.8152,93.783,13.060995,3.639764622847239
0,7,1687,15.535,167.94,23.534203,3.639764622847239
0,7,1690,30.928,167.94,19.508553,3.639764622847239
0,7,1707,34.223,167.96,19.791542,3.639764622847239
0,7,1711,19.012,24.05,27.724106,3.639764622847239
0,7,1735,13.0,168.01,15.5794525,3.639764622847239
0,7,2236,68.30640499255,123.92,40.435547,3.639764622847239
0,7,2272,0.2392783,167.3,14.964622,3.639764622847239
0,7,2459,8.6117,139.0,17.369476,3.639764622847239
0,7,2464,7.4512,140.58,7.743132,3.639764622847239
0,7,2535,17.503,95.45,29.694252,3.639764622847239
0,7,2548,42.19,94.883,-19.164343,3.639764622847239
0,7,2551,55.325,97.0,49.70162,3.639764622847239
0,7,2568,26.48,96.6,15.465487,3.639764622847239
0,7,2783,12.647,94.017,5.9415183,3.639764622847239
0,7,2792,5.9582,48.083,4.5243754,3.639764622847239
0,7,2794,9.4585,48.067,9.563135,3.639764622847239
0,7,2820,8.9898,72.467,6.649223,3.639764622847239
0,7,2828,15.649,81.383,11.461384,3.639764622847239
0,7,2848,9.2466,56.5,10.623476,3.639764622847239
0,7,2851,11.13,46.317,22.544203,3.639764622847239
0,7,2852,5.6244,45.633,3.0589464,3.639764622847239
0,7,2856,11.365,94.833,7.89047,3.639764622847239
0,7,3134,23.535,45.0,32.922638,3.639764622847239
0,7,3144,1.9494,96.5,7.0875487,3.639764622847239
0,7,3168,71.835,95.5,63.137936,3.639764622847239
0,7,3183,3.0105,56.7,20.047997,3.639764622847239
0,7,3191,1.4898,95.7,4.6125407,3.639764622847239
0,7,3243,3.7035,95.9,13.1574135,3.639764622847239
0,7,3244,18.902,94.6,23.22374,3.639764622847239
0,7,3257,5.8855,96.1,11.320276,3.639764622847239
0,7,3269,6.7152,95.7,8.7353325,3.639764622847239
0,7,3274,5.3544,95.7,4.0856967,3.639764622847239
0,7,3277,6.1834,96.1,3.2244623,3.639764622847239
0,7,3296,20.488,95.667,16.508259,3.639764622847239
0,7,3311,27.488,96.567,26.46837,3.639764622847239
0,7,3312,33.167,95.7,27.141764,3.639764622847239
0,7,3320,24.593,96.783,22.774555,3.639764622847239
0,7,3325,5.0531,97.967,1.1549947,3.639764622847239
0,7,3328,8.0743,96.033,4.5370708,3.639764622847239
0,7,3340,3.8717,96.5,8.629604,3.639764622847239
0,7,3354,0.58118,96.55,1.8592184,3.639764622847239
0,7,3355,2.2794,96.567,7.6747108,3.639764622847239
