sample,model,pmid,e.cum,ct,prediction_ecum,running_time
4,9,184,12.965,164.15,5.1753955,4.363279441992442
4,9,205,30.425,168.5,9.853112,4.363279441992442
4,9,208,9.2932,169.0,7.316577,4.363279441992442
4,9,918,10.634,139.75,10.215103,4.363279441992442
4,9,921,14.35,144.75,11.568792,4.363279441992442
4,9,930,8.4867,143.83,14.67277,4.363279441992442
4,9,947,2.8849,145.17,6.111515,4.363279441992442
4,9,953,10.402,147.67,15.041349,4.363279441992442
4,9,954,11.323,144.67,6.1975803,4.363279441992442
4,9,957,8.5604,145.42,6.187998,4.363279441992442
4,9,959,13.232,147.42,14.925234,4.363279441992442
4,9,979,14.458,164.2,14.071732,4.363279441992442
4,9,988,9.6686,165.13,10.981362,4.363279441992442
4,9,1132,26.04,168.5,27.903194,4.363279441992442
4,9,1146,4.035,168.0,18.528858,4.363279441992442
4,9,1150,17.507,167.65,18.148937,4.363279441992442
4,9,1187,22.582,141.42,21.769634,4.363279441992442
4,9,1194,11.622,144.22,10.969822,4.363279441992442
4,9,1208,23.914,165.78,16.241035,4.363279441992442
4,9,1210,23.068,165.02,14.179888,4.363279441992442
4,9,1232,9.2701,141.25,7.2881827,4.363279441992442
4,9,1244,4.2806,140.6,7.9741564,4.363279441992442
4,9,1251,9.92,137.42,6.6880374,4.363279441992442
4,9,1396,18.256,54.833,28.512205,4.363279441992442
4,9,1456,1.4213,25.85,3.5722897,4.363279441992442
4,9,1457,1.3532,26.2,3.214535,4.363279441992442
4,9,1469,3.9969,51.733,7.4073033,4.363279441992442
4,9,1477,5.0489,53.783,12.161513,4.363279441992442
4,9,1491,4.4883,43.517,5.5829997,4.363279441992442
4,9,1499,18.063,176.0,23.053776,4.363279441992442
4,9,1515,34.481,148.5,8.914966,4.363279441992442
4,9,1527,4.25499,170.0,11.825268,4.363279441992442
4,9,1531,13.268,172.38,14.991152,4.363279441992442
4,9,1686,39.444,167.93,32.355034,4.363279441992442
4,9,1689,16.416,167.95,26.587934,4.363279441992442
4,9,1693,30.642,167.96,37.26779,4.363279441992442
4,9,1734,14.133,168.01,15.133633,4.363279441992442
4,9,1748,11.806,167.99,8.393602,4.363279441992442
4,9,1938,10.24463271522,175.62,3.6733305,4.363279441992442
4,9,2236,68.30640499255,123.92,14.504808,4.363279441992442
4,9,2462,21.538,142.5,9.692343,4.363279441992442
4,9,2543,4.3271,46.283,20.054821,4.363279441992442
4,9,2548,42.19,94.883,45.99309,4.363279441992442
4,9,2552,46.917,96.633,55.55317,4.363279441992442
4,9,2554,19.937,95.0,29.31467,4.363279441992442
4,9,2584,22.382,68.933,20.036343,4.363279441992442
4,9,2812,6.0184,48.25,11.353613,4.363279441992442
4,9,2815,10.73,84.967,12.225515,4.363279441992442
4,9,2833,11.578,70.167,20.30615,4.363279441992442
4,9,2836,10.973,31.883,11.713604,4.363279441992442
4,9,2847,9.7365,96.05,5.788605,4.363279441992442
4,9,2849,2.7917,57.467,5.9847293,4.363279441992442
4,9,2860,4.6107,93.033,5.1330237,4.363279441992442
4,9,2861,4.2496,94.35,4.480596,4.363279441992442
4,9,3132,95.441,70.9,82.30949,4.363279441992442
4,9,3144,1.9494,96.5,4.2549605,4.363279441992442
4,9,3146,31.554,94.3,11.878754,4.363279441992442
4,9,3176,52.44,96.533,75.61561,4.363279441992442
4,9,3185,4.0546,93.7,19.04523,4.363279441992442
4,9,3229,54.211,34.6,64.907,4.363279441992442
4,9,3233,14.737,92.9,9.219383,4.363279441992442
4,9,3240,1.142,94.8,5.5438166,4.363279441992442
4,9,3243,3.7035,95.9,11.83173,4.363279441992442
4,9,3252,25.378,96.9,27.075665,4.363279441992442
4,9,3264,26.011,95.2,27.505287,4.363279441992442
4,9,3268,7.2064,95.4,7.605007,4.363279441992442
4,9,3275,1.8179,95.7,3.3098614,4.363279441992442
4,9,3284,4.1861,71.9,6.9779706,4.363279441992442
4,9,3292,5.7211,72.017,3.8374212,4.363279441992442
4,9,3296,20.488,95.667,19.0116,4.363279441992442
4,9,3305,20.567,99.45,16.059631,4.363279441992442
4,9,3308,26.476,96.283,21.238998,4.363279441992442
4,9,3332,2.0987,96.817,4.9876885,4.363279441992442
4,9,3356,0.45377,93.033,-0.516595,4.363279441992442
