sample,model,pmid,e.cum,ct,prediction_ecum,running_time
13,1,183,6.9332,163.2,12.53639,2.5449291467666626
13,1,191,10.545,165.8,16.357933,2.5449291467666626
13,1,205,30.425,168.5,14.071217,2.5449291467666626
13,1,918,10.634,139.75,8.946926,2.5449291467666626
13,1,931,9.3878,146.72,7.2899327,2.5449291467666626
13,1,956,10.098,145.43,10.420023,2.5449291467666626
13,1,961,9.8115,144.25,10.024229,2.5449291467666626
13,1,968,5.9409,145.33,8.976276,2.5449291467666626
13,1,980,12.854,167.13,18.984915,2.5449291467666626
13,1,984,13.46,167.78,18.765429,2.5449291467666626
13,1,992,6.0294,168.42,15.685627,2.5449291467666626
13,1,1002,6.895,165.05,10.2465515,2.5449291467666626
13,1,1009,17.948,161.75,2.1921391,2.5449291467666626
13,1,1131,24.72,168.0,30.211699,2.5449291467666626
13,1,1159,3.6862,174.35,6.4281373,2.5449291467666626
13,1,1163,22.901,166.27,22.128496,2.5449291467666626
13,1,1193,5.3342,142.75,5.7060285,2.5449291467666626
13,1,1195,9.0008,144.22,17.580248,2.5449291467666626
13,1,1196,11.227,144.8,17.078793,2.5449291467666626
13,1,1213,10.986,167.17,22.73314,2.5449291467666626
13,1,1228,12.549,142.95,14.189299,2.5449291467666626
13,1,1236,6.1232,139.35,5.192866,2.5449291467666626
13,1,1241,7.9829,140.12,5.5127606,2.5449291467666626
13,1,1341,9.7775,54.6,4.7737203,2.5449291467666626
13,1,1450,6.7922,27.167,3.7029996,2.5449291467666626
13,1,1455,5.126,25.35,5.878819,2.5449291467666626
13,1,1459,2.1407,50.017,0.51093715,2.5449291467666626
13,1,1461,1.0509,47.3,-5.8985705,2.5449291467666626
13,1,1469,3.9969,51.733,8.024487,2.5449291467666626
13,1,1528,34.0211,170.0,15.88773,2.5449291467666626
13,1,1531,13.268,172.38,18.518274,2.5449291467666626
13,1,1683,26.073,167.93,34.23558,2.5449291467666626
13,1,1692,30.845,167.96,28.925394,2.5449291467666626
13,1,1701,42.461,168.09,29.567226,2.5449291467666626
13,1,1702,40.044,168.1,29.987864,2.5449291467666626
13,1,1740,13.191,168.08,23.329838,2.5449291467666626
13,1,1936,35.0801457484573,175.53,22.180494,2.5449291467666626
13,1,2234,42.3114327382,129.83,39.08073,2.5449291467666626
13,1,2456,11.333,117.7,47.248486,2.5449291467666626
13,1,2461,9.9978,138.5,16.168945,2.5449291467666626
13,1,2463,12.401,142.5,11.722429,2.5449291467666626
13,1,2545,9.7433,97.25,-0.6755367,2.5449291467666626
13,1,2555,21.701,97.6,18.520777,2.5449291467666626
13,1,2558,30.508,96.283,48.36929,2.5449291467666626
13,1,2789,5.7412,95.083,2.907639,2.5449291467666626
13,1,2798,6.207,46.533,9.971027,2.5449291467666626
13,1,2816,6.1119,83.9,5.765572,2.5449291467666626
13,1,2820,8.9898,72.467,6.768025,2.5449291467666626
13,1,2846,18.199,95.867,24.29316,2.5449291467666626
13,1,2848,9.2466,56.5,9.5992775,2.5449291467666626
13,1,2854,17.795,93.667,8.879314,2.5449291467666626
13,1,2858,10.013,55.217,9.379459,2.5449291467666626
13,1,3123,0.16181,94.9,81.90993,2.5449291467666626
13,1,3129,27.03,45.5,25.839642,2.5449291467666626
13,1,3145,4.5475,95.3,12.20541,2.5449291467666626
13,1,3148,45.556,95.7,46.393185,2.5449291467666626
13,1,3167,69.171,94.9,55.70493,2.5449291467666626
13,1,3169,31.183,95.9,20.404884,2.5449291467666626
13,1,3178,23.339,97.233,23.942951,2.5449291467666626
13,1,3193,12.154,95.8,21.79815,2.5449291467666626
13,1,3208,15.409,95.4,7.0526757,2.5449291467666626
13,1,3214,4.8371,95.4,11.052666,2.5449291467666626
13,1,3221,1.478,94.8,8.040073,2.5449291467666626
13,1,3229,54.211,34.6,48.94694,2.5449291467666626
13,1,3249,20.874,97.4,23.29518,2.5449291467666626
13,1,3257,5.8855,96.1,8.29324,2.5449291467666626
13,1,3284,4.1861,71.9,6.4909825,2.5449291467666626
13,1,3285,4.3224,70.8,7.8446393,2.5449291467666626
13,1,3307,6.8089,100.05,7.0350995,2.5449291467666626
13,1,3317,21.22,72.0,19.817215,2.5449291467666626
13,1,3321,21.126,95.817,21.24243,2.5449291467666626
13,1,3329,16.231,96.067,15.352894,2.5449291467666626
13,1,3346,1.9347,96.683,5.9512906,2.5449291467666626
13,1,3374,43.965,95.4,41.798393,2.5449291467666626
