sample,model,pmid,e.cum,ct,prediction_ecum,running_time
8,9,185,8.2469,165.0,11.430737,4.314068047205607
8,9,194,5.2773,164.5,18.898994,4.314068047205607
8,9,201,9.0318,168.25,9.481984,4.314068047205607
8,9,933,20.871,143.4,11.272244,4.314068047205607
8,9,957,8.5604,145.42,5.6450057,4.314068047205607
8,9,967,10.27,144.75,6.0393233,4.314068047205607
8,9,983,12.99,169.55,6.9709387,4.314068047205607
8,9,985,11.386,167.92,6.041454,4.314068047205607
8,9,992,6.0294,168.42,6.837442,4.314068047205607
8,9,998,21.428,164.25,32.95697,4.314068047205607
8,9,1003,20.674,167.02,19.38356,4.314068047205607
8,9,1010,5.6813,167.78,7.339399,4.314068047205607
8,9,1014,12.398,164.93,13.2730255,4.314068047205607
8,9,1136,28.159,168.0,25.134323,4.314068047205607
8,9,1150,17.507,167.65,13.472169,4.314068047205607
8,9,1162,23.251,166.77,17.794636,4.314068047205607
8,9,1186,25.207,141.42,21.397213,4.314068047205607
8,9,1199,3.8717,146.88,6.1881676,4.314068047205607
8,9,1205,36.483,166.53,22.711555,4.314068047205607
8,9,1219,13.991,164.98,24.52824,4.314068047205607
8,9,1228,12.549,142.95,11.942159,4.314068047205607
8,9,1233,8.4208,141.25,8.252911,4.314068047205607
8,9,1243,6.8146,142.1,10.312632,4.314068047205607
8,9,1362,16.344,49.9,17.129953,4.314068047205607
8,9,1449,7.1617,27.517,4.76072,4.314068047205607
8,9,1452,1.9871,24.833,1.127709,4.314068047205607
8,9,1465,1.6079,50.283,3.167831,4.314068047205607
8,9,1473,0.86263,30.017,4.387544,4.314068047205607
8,9,1474,0.72188,29.533,4.678717,4.314068047205607
8,9,1501,6.832,176.0,6.599841,4.314068047205607
8,9,1527,4.25499,170.0,36.068085,4.314068047205607
8,9,1529,14.5,172.38,12.489051,4.314068047205607
8,9,1687,15.535,167.94,28.78687,4.314068047205607
8,9,1688,23.179,167.94,31.839172,4.314068047205607
8,9,1691,30.504,167.97,26.877914,4.314068047205607
8,9,1711,19.012,24.05,17.80957,4.314068047205607
8,9,1714,9.0002,24.05,7.5802503,4.314068047205607
8,9,1935,18.288336,175.67,20.76545,4.314068047205607
8,9,2233,40.65634943788,129.83,39.910233,4.314068047205607
8,9,2453,22.776,149.25,25.015587,4.314068047205607
8,9,2459,8.6117,139.0,13.265944,4.314068047205607
8,9,2544,14.361,45.783,8.137436,4.314068047205607
8,9,2558,30.508,96.283,36.934547,4.314068047205607
8,9,2581,17.749,91.217,29.860954,4.314068047205607
8,9,2583,20.962,90.983,29.937113,4.314068047205607
8,9,2785,9.0231,93.8,4.449579,4.314068047205607
8,9,2792,5.9582,48.083,4.8549323,4.314068047205607
8,9,2826,9.9459,59.517,9.288644,4.314068047205607
8,9,2829,11.775,80.6,11.044965,4.314068047205607
8,9,2832,2.6967,58.017,4.3224454,4.314068047205607
8,9,2841,6.8982,73.417,6.125067,4.314068047205607
8,9,2855,7.6947,94.833,7.077885,4.314068047205607
8,9,3133,54.034,45.0,22.618126,4.314068047205607
8,9,3159,21.868,93.6,22.61468,4.314068047205607
8,9,3163,20.785,93.9,28.832573,4.314068047205607
8,9,3170,6.0754,96.5,-14.364366,4.314068047205607
8,9,3178,23.339,97.233,29.729141,4.314068047205607
8,9,3184,3.6465,93.5,9.609904,4.314068047205607
8,9,3198,21.35,94.9,28.657194,4.314068047205607
8,9,3207,1.7269,93.6,5.1957383,4.314068047205607
8,9,3232,12.792,94.9,7.9702487,4.314068047205607
8,9,3243,3.7035,95.9,10.541627,4.314068047205607
8,9,3248,8.5555,95.6,10.372132,4.314068047205607
8,9,3268,7.2064,95.4,6.5229535,4.314068047205607
8,9,3285,4.3224,70.8,6.9354677,4.314068047205607
8,9,3295,12.503,71.2,5.7511954,4.314068047205607
8,9,3306,23.557,98.8,29.121624,4.314068047205607
8,9,3315,18.705,72.067,20.582523,4.314068047205607
8,9,3321,21.126,95.817,21.524841,4.314068047205607
8,9,3328,8.0743,96.033,5.1228604,4.314068047205607
8,9,3339,17.541,95.617,12.540959,4.314068047205607
8,9,3343,17.806,95.533,12.852511,4.314068047205607
8,9,3368,2.1674,94.45,2.8056188,4.314068047205607
8,9,3372,14.201,95.2,11.552053,4.314068047205607
