sample,model,pmid,e.cum,ct,prediction_ecum,running_time
10,7,188,16.195,167.5,27.328745,3.5064860582351685
10,7,200,5.1117,165.17,11.180967,3.5064860582351685
10,7,205,30.425,168.5,17.56493,3.5064860582351685
10,7,929,2.1039,144.82,4.918186,3.5064860582351685
10,7,944,15.672,142.75,17.705666,3.5064860582351685
10,7,962,7.9302,145.75,10.638884,3.5064860582351685
10,7,975,4.8334,166.78,18.126255,3.5064860582351685
10,7,976,6.1618,169.67,17.537256,3.5064860582351685
10,7,979,14.458,164.2,31.313154,3.5064860582351685
10,7,988,9.6686,165.13,14.208048,3.5064860582351685
10,7,999,13.16,169.75,18.462957,3.5064860582351685
10,7,1006,9.54,168.67,13.422249,3.5064860582351685
10,7,1018,4.0042,169.85,17.954845,3.5064860582351685
10,7,1118,42.729,168.5,20.293747,3.5064860582351685
10,7,1150,17.507,167.65,10.876228,3.5064860582351685
10,7,1162,23.251,166.77,13.851364,3.5064860582351685
10,7,1192,6.0171,142.75,10.749893,3.5064860582351685
10,7,1196,11.227,144.8,17.827902,3.5064860582351685
10,7,1197,14.035,144.8,17.827902,3.5064860582351685
10,7,1204,26.38,166.53,15.329079,3.5064860582351685
10,7,1208,23.914,165.78,12.687231,3.5064860582351685
10,7,1247,6.4714,139.53,4.163107,3.5064860582351685
10,7,1362,16.344,49.9,10.132009,3.5064860582351685
10,7,1457,1.3532,26.2,-2.042938,3.5064860582351685
10,7,1460,2.0765,50.517,4.3588476,3.5064860582351685
10,7,1462,2.6037,55.4,5.11158,3.5064860582351685
10,7,1476,6.515,53.533,2.669718,3.5064860582351685
10,7,1487,22.575,120.07,16.646343,3.5064860582351685
10,7,1515,34.481,148.5,22.98965,3.5064860582351685
10,7,1528,34.0211,170.0,20.636438,3.5064860582351685
10,7,1531,13.268,172.38,16.779491,3.5064860582351685
10,7,1692,30.845,167.96,21.511871,3.5064860582351685
10,7,1694,41.856,167.96,25.016863,3.5064860582351685
10,7,1696,18.154,168.22,18.796598,3.5064860582351685
10,7,1735,13.0,168.01,15.224627,3.5064860582351685
10,7,1742,11.044,168.01,14.354586,3.5064860582351685
10,7,1935,18.288336,175.67,19.34157,3.5064860582351685
10,7,1938,10.24463271522,175.62,13.42503,3.5064860582351685
10,7,2235,39.629723414,129.83,42.886265,3.5064860582351685
10,7,2461,9.9978,138.5,10.798157,3.5064860582351685
10,7,2463,12.401,142.5,11.091501,3.5064860582351685
10,7,2551,55.325,97.0,52.178623,3.5064860582351685
10,7,2558,30.508,96.283,26.84652,3.5064860582351685
10,7,2801,10.123,48.367,3.8485672,3.5064860582351685
10,7,2833,11.578,70.167,18.31314,3.5064860582351685
10,7,2851,11.13,46.317,25.807846,3.5064860582351685
10,7,2860,4.6107,93.033,9.056029,3.5064860582351685
10,7,3120,1.7254,95.0,13.83314,3.5064860582351685
10,7,3145,4.5475,95.3,7.1129303,3.5064860582351685
10,7,3163,20.785,93.9,22.917847,3.5064860582351685
10,7,3166,23.978,95.3,33.975113,3.5064860582351685
10,7,3175,25.89,96.017,20.505241,3.5064860582351685
10,7,3177,27.257,97.65,23.844872,3.5064860582351685
10,7,3179,30.206,96.967,26.443005,3.5064860582351685
10,7,3199,10.311,94.9,10.072796,3.5064860582351685
10,7,3208,15.409,95.4,12.537162,3.5064860582351685
10,7,3228,7.0794,35.4,8.709508,3.5064860582351685
10,7,3238,1.5524,95.0,-0.04796487,3.5064860582351685
10,7,3239,0.78037,95.6,-0.41691285,3.5064860582351685
10,7,3241,39.695,95.8,41.435364,3.5064860582351685
10,7,3245,2.6718,96.5,6.4736767,3.5064860582351685
10,7,3250,11.554,97.2,11.826534,3.5064860582351685
10,7,3267,20.563,96.3,21.157236,3.5064860582351685
10,7,3277,6.1834,96.1,3.6831734,3.5064860582351685
10,7,3294,31.474,71.183,21.10594,3.5064860582351685
10,7,3305,20.567,99.45,15.559795,3.5064860582351685
10,7,3307,6.8089,100.05,6.527836,3.5064860582351685
10,7,3312,33.167,95.7,23.825874,3.5064860582351685
10,7,3315,18.705,72.067,26.044744,3.5064860582351685
10,7,3323,0.8897,98.65,1.2923472,3.5064860582351685
10,7,3344,19.463,94.817,15.4314575,3.5064860582351685
10,7,3352,0.52621,48.233,-0.71157056,3.5064860582351685
10,7,3375,17.619,96.7,19.529861,3.5064860582351685
10,7,3376,37.008,96.717,45.048008,3.5064860582351685
