sample,model,pmid,e.cum,ct,prediction_ecum,running_time
0,8,195,18.5,162.9,13.696399,4.290821123123169
0,8,196,4.5944,162.85,16.381474,4.290821123123169
0,8,200,5.1117,165.17,10.489545,4.290821123123169
0,8,927,8.904,142.0,14.857535,4.290821123123169
0,8,940,9.5498,142.05,14.903042,4.290821123123169
0,8,957,8.5604,145.42,6.182273,4.290821123123169
0,8,958,6.2404,146.5,7.4626913,4.290821123123169
0,8,965,16.503,147.42,15.252151,4.290821123123169
0,8,972,10.651,144.67,6.4859056,4.290821123123169
0,8,982,31.749,172.58,15.017234,4.290821123123169
0,8,984,13.46,167.78,12.251464,4.290821123123169
0,8,1008,17.127,169.32,27.304085,4.290821123123169
0,8,1009,17.948,161.75,4.499173,4.290821123123169
0,8,1132,26.04,168.5,23.381367,4.290821123123169
0,8,1155,3.2223,145.83,9.593638,4.290821123123169
0,8,1159,3.6862,174.35,5.847169,4.290821123123169
0,8,1192,6.0171,142.75,5.7950926,4.290821123123169
0,8,1194,11.622,144.22,17.193983,4.290821123123169
0,8,1200,4.832,146.65,13.433465,4.290821123123169
0,8,1211,17.783,165.02,13.891364,4.290821123123169
0,8,1221,14.453,166.97,16.457794,4.290821123123169
0,8,1227,25.605,141.07,22.942478,4.290821123123169
0,8,1228,12.549,142.95,12.896268,4.290821123123169
0,8,1408,7.809,47.367,12.434522,4.290821123123169
0,8,1457,1.3532,26.2,2.7515442,4.290821123123169
0,8,1458,3.4425,49.517,3.1933587,4.290821123123169
0,8,1471,4.0129,48.767,3.900451,4.290821123123169
0,8,1475,8.2036,54.333,19.494442,4.290821123123169
0,8,1491,4.4883,43.517,2.08342,4.290821123123169
0,8,1506,0.143,176.0,1.7411664,4.290821123123169
0,8,1527,4.25499,170.0,8.582847,4.290821123123169
0,8,1534,7.8152,93.783,11.513647,4.290821123123169
0,8,1687,15.535,167.94,36.99781,4.290821123123169
0,8,1690,30.928,167.94,26.550117,4.290821123123169
0,8,1707,34.223,167.96,32.018898,4.290821123123169
0,8,1711,19.012,24.05,20.763699,4.290821123123169
0,8,1735,13.0,168.01,15.2955885,4.290821123123169
0,8,2236,68.30640499255,123.92,53.648804,4.290821123123169
0,8,2272,0.2392783,167.3,11.222041,4.290821123123169
0,8,2459,8.6117,139.0,16.176361,4.290821123123169
0,8,2464,7.4512,140.58,0.16387296,4.290821123123169
0,8,2535,17.503,95.45,22.86863,4.290821123123169
0,8,2548,42.19,94.883,38.856415,4.290821123123169
0,8,2551,55.325,97.0,45.48323,4.290821123123169
0,8,2568,26.48,96.6,14.349577,4.290821123123169
0,8,2783,12.647,94.017,7.5617495,4.290821123123169
0,8,2792,5.9582,48.083,5.3030243,4.290821123123169
0,8,2794,9.4585,48.067,10.612405,4.290821123123169
0,8,2820,8.9898,72.467,7.325386,4.290821123123169
0,8,2828,15.649,81.383,11.530352,4.290821123123169
0,8,2848,9.2466,56.5,8.65188,4.290821123123169
0,8,2851,11.13,46.317,16.110525,4.290821123123169
0,8,2852,5.6244,45.633,2.9379952,4.290821123123169
0,8,2856,11.365,94.833,6.285454,4.290821123123169
0,8,3134,23.535,45.0,47.631165,4.290821123123169
0,8,3144,1.9494,96.5,5.23647,4.290821123123169
0,8,3168,71.835,95.5,59.10961,4.290821123123169
0,8,3183,3.0105,56.7,21.13136,4.290821123123169
0,8,3191,1.4898,95.7,-2.814061,4.290821123123169
0,8,3243,3.7035,95.9,11.456752,4.290821123123169
0,8,3244,18.902,94.6,22.344992,4.290821123123169
0,8,3257,5.8855,96.1,5.4406977,4.290821123123169
0,8,3269,6.7152,95.7,4.6714573,4.290821123123169
0,8,3274,5.3544,95.7,1.9841874,4.290821123123169
0,8,3277,6.1834,96.1,0.90761113,4.290821123123169
0,8,3296,20.488,95.667,15.572172,4.290821123123169
0,8,3311,27.488,96.567,19.216507,4.290821123123169
0,8,3312,33.167,95.7,23.381893,4.290821123123169
0,8,3320,24.593,96.783,20.086315,4.290821123123169
0,8,3325,5.0531,97.967,2.6683838,4.290821123123169
0,8,3328,8.0743,96.033,6.3347807,4.290821123123169
0,8,3340,3.8717,96.5,4.3630285,4.290821123123169
0,8,3354,0.58118,96.55,0.8642056,4.290821123123169
0,8,3355,2.2794,96.567,8.206073,4.290821123123169
