sample,model,pmid,e.cum,ct,prediction_ecum,running_time
13,3,183,6.9332,163.2,20.654762,3.5551313837369283
13,3,191,10.545,165.8,17.04625,3.5551313837369283
13,3,205,30.425,168.5,11.8005085,3.5551313837369283
13,3,918,10.634,139.75,8.624689,3.5551313837369283
13,3,931,9.3878,146.72,9.655537,3.5551313837369283
13,3,956,10.098,145.43,13.73229,3.5551313837369283
13,3,961,9.8115,144.25,10.661812,3.5551313837369283
13,3,968,5.9409,145.33,6.6918817,3.5551313837369283
13,3,980,12.854,167.13,10.382241,3.5551313837369283
13,3,984,13.46,167.78,11.1894045,3.5551313837369283
13,3,992,6.0294,168.42,5.525386,3.5551313837369283
13,3,1002,6.895,165.05,7.6871257,3.5551313837369283
13,3,1009,17.948,161.75,7.045307,3.5551313837369283
13,3,1131,24.72,168.0,25.936012,3.5551313837369283
13,3,1159,3.6862,174.35,1.6328498,3.5551313837369283
13,3,1163,22.901,166.27,26.078064,3.5551313837369283
13,3,1193,5.3342,142.75,9.0650215,3.5551313837369283
13,3,1195,9.0008,144.22,19.688538,3.5551313837369283
13,3,1196,11.227,144.8,18.90125,3.5551313837369283
13,3,1213,10.986,167.17,17.147572,3.5551313837369283
13,3,1228,12.549,142.95,15.546225,3.5551313837369283
13,3,1236,6.1232,139.35,8.131234,3.5551313837369283
13,3,1241,7.9829,140.12,7.3879805,3.5551313837369283
13,3,1341,9.7775,54.6,13.939447,3.5551313837369283
13,3,1450,6.7922,27.167,2.0873368,3.5551313837369283
13,3,1455,5.126,25.35,2.1799345,3.5551313837369283
13,3,1459,2.1407,50.017,3.8001528,3.5551313837369283
13,3,1461,1.0509,47.3,1.5061626,3.5551313837369283
13,3,1469,3.9969,51.733,5.0364695,3.5551313837369283
13,3,1528,34.0211,170.0,16.579062,3.5551313837369283
13,3,1531,13.268,172.38,17.524326,3.5551313837369283
13,3,1683,26.073,167.93,36.249187,3.5551313837369283
13,3,1692,30.845,167.96,35.85627,3.5551313837369283
13,3,1701,42.461,168.09,36.381607,3.5551313837369283
13,3,1702,40.044,168.1,37.317398,3.5551313837369283
13,3,1740,13.191,168.08,26.545,3.5551313837369283
13,3,1936,35.0801457484573,175.53,30.36559,3.5551313837369283
13,3,2234,42.3114327382,129.83,41.851025,3.5551313837369283
13,3,2456,11.333,117.7,104.230675,3.5551313837369283
13,3,2461,9.9978,138.5,8.874858,3.5551313837369283
13,3,2463,12.401,142.5,18.731571,3.5551313837369283
13,3,2545,9.7433,97.25,9.02099,3.5551313837369283
13,3,2555,21.701,97.6,17.368048,3.5551313837369283
13,3,2558,30.508,96.283,37.952003,3.5551313837369283
13,3,2789,5.7412,95.083,4.221037,3.5551313837369283
13,3,2798,6.207,46.533,10.291226,3.5551313837369283
13,3,2816,6.1119,83.9,8.012007,3.5551313837369283
13,3,2820,8.9898,72.467,8.54952,3.5551313837369283
13,3,2846,18.199,95.867,25.085966,3.5551313837369283
13,3,2848,9.2466,56.5,10.911559,3.5551313837369283
13,3,2854,17.795,93.667,13.657835,3.5551313837369283
13,3,2858,10.013,55.217,10.987629,3.5551313837369283
13,3,3123,0.16181,94.9,69.83924,3.5551313837369283
13,3,3129,27.03,45.5,23.721657,3.5551313837369283
13,3,3145,4.5475,95.3,9.104608,3.5551313837369283
13,3,3148,45.556,95.7,30.706331,3.5551313837369283
13,3,3167,69.171,94.9,81.09906,3.5551313837369283
13,3,3169,31.183,95.9,19.959639,3.5551313837369283
13,3,3178,23.339,97.233,29.836103,3.5551313837369283
13,3,3193,12.154,95.8,14.174429,3.5551313837369283
13,3,3208,15.409,95.4,8.976102,3.5551313837369283
13,3,3214,4.8371,95.4,7.545622,3.5551313837369283
13,3,3221,1.478,94.8,5.967016,3.5551313837369283
13,3,3229,54.211,34.6,68.63116,3.5551313837369283
13,3,3249,20.874,97.4,22.149422,3.5551313837369283
13,3,3257,5.8855,96.1,7.05817,3.5551313837369283
13,3,3284,4.1861,71.9,8.768713,3.5551313837369283
13,3,3285,4.3224,70.8,9.590797,3.5551313837369283
13,3,3307,6.8089,100.05,8.229946,3.5551313837369283
13,3,3317,21.22,72.0,20.170856,3.5551313837369283
13,3,3321,21.126,95.817,21.631857,3.5551313837369283
13,3,3329,16.231,96.067,18.65343,3.5551313837369283
13,3,3346,1.9347,96.683,6.422123,3.5551313837369283
13,3,3374,43.965,95.4,43.266304,3.5551313837369283
