sample,model,pmid,e.cum,ct,prediction_ecum,running_time
1,1,185,8.2469,165.0,12.350832,2.518598961830139
1,1,194,5.2773,164.5,16.814053,2.518598961830139
1,1,207,14.106,170.33,16.758078,2.518598961830139
1,1,921,14.35,144.75,8.113281,2.518598961830139
1,1,927,8.904,142.0,17.441242,2.518598961830139
1,1,929,2.1039,144.82,5.335974,2.518598961830139
1,1,948,9.1412,145.25,8.86451,2.518598961830139
1,1,955,3.1902,144.83,8.909122,2.518598961830139
1,1,988,9.6686,165.13,14.255888,2.518598961830139
1,1,999,13.16,169.75,18.321995,2.518598961830139
1,1,1005,21.328,164.08,11.540171,2.518598961830139
1,1,1007,25.065,167.12,16.730818,2.518598961830139
1,1,1013,12.362,167.63,14.688673,2.518598961830139
1,1,1136,28.159,168.0,16.552773,2.518598961830139
1,1,1152,4.8586,146.0,8.064644,2.518598961830139
1,1,1155,3.2223,145.83,6.765145,2.518598961830139
1,1,1192,6.0171,142.75,9.244024,2.518598961830139
1,1,1208,23.914,165.78,13.355379,2.518598961830139
1,1,1209,30.932,165.78,13.355379,2.518598961830139
1,1,1211,17.783,165.02,12.462994,2.518598961830139
1,1,1239,11.817,138.37,11.601109,2.518598961830139
1,1,1243,6.8146,142.1,12.2726,2.518598961830139
1,1,1246,4.8744,139.53,8.933329,2.518598961830139
1,1,1248,5.6782,138.48,4.541966,2.518598961830139
1,1,1258,11.332,51.883,14.358717,2.518598961830139
1,1,1458,3.4425,49.517,8.907438,2.518598961830139
1,1,1459,2.1407,50.017,3.6749902,2.518598961830139
1,1,1461,1.0509,47.3,-7.165895,2.518598961830139
1,1,1473,0.86263,30.017,4.380219,2.518598961830139
1,1,1477,5.0489,53.783,14.954544,2.518598961830139
1,1,1506,0.143,176.0,1.8021015,2.518598961830139
1,1,1524,5.73409,176.0,5.466365,2.518598961830139
1,1,1532,20.742,171.88,24.188639,2.518598961830139
1,1,1691,30.504,167.97,27.058182,2.518598961830139
1,1,1705,35.546,168.0,27.748455,2.518598961830139
1,1,1706,23.625,168.01,21.005007,2.518598961830139
1,1,1738,10.605,168.16,12.876192,2.518598961830139
1,1,1742,11.044,168.01,11.913082,2.518598961830139
1,1,2234,42.3114327382,129.83,40.277317,2.518598961830139
1,1,2456,11.333,117.7,39.34582,2.518598961830139
1,1,2461,9.9978,138.5,11.649294,2.518598961830139
1,1,2535,17.503,95.45,36.777523,2.518598961830139
1,1,2539,17.659,96.483,16.220476,2.518598961830139
1,1,2568,26.48,96.6,15.128067,2.518598961830139
1,1,2577,24.085,67.683,20.169825,2.518598961830139
1,1,2578,24.557,68.267,34.814274,2.518598961830139
1,1,2794,9.4585,48.067,14.791561,2.518598961830139
1,1,2800,3.1987,45.75,1.9396309,2.518598961830139
1,1,2812,6.0184,48.25,9.96814,2.518598961830139
1,1,2814,2.3252,47.633,6.239161,2.518598961830139
1,1,2825,16.299,59.5,6.383389,2.518598961830139
1,1,2847,9.7365,96.05,6.5247855,2.518598961830139
1,1,3124,1.1096,94.7,49.700703,2.518598961830139
1,1,3135,1.8015,70.3,12.259775,2.518598961830139
1,1,3153,31.395,94.7,20.45583,2.518598961830139
1,1,3161,89.505,93.7,45.593407,2.518598961830139
1,1,3163,20.785,93.9,30.533058,2.518598961830139
1,1,3173,18.102,96.7,21.245611,2.518598961830139
1,1,3174,17.665,96.417,21.663052,2.518598961830139
1,1,3176,52.44,96.533,43.26577,2.518598961830139
1,1,3184,3.6465,93.5,9.221088,2.518598961830139
1,1,3191,1.4898,95.7,3.8144403,2.518598961830139
1,1,3193,12.154,95.8,26.216661,2.518598961830139
1,1,3195,16.271,92.7,24.61231,2.518598961830139
1,1,3202,6.8662,70.6,5.2320676,2.518598961830139
1,1,3220,10.197,93.6,20.487385,2.518598961830139
1,1,3246,5.417,96.3,9.449374,2.518598961830139
1,1,3251,9.6454,96.6,12.978565,2.518598961830139
1,1,3252,25.378,96.9,23.42638,2.518598961830139
1,1,3256,6.4701,96.0,12.766012,2.518598961830139
1,1,3259,28.451,95.0,24.91925,2.518598961830139
1,1,3272,30.732,81.4,28.692595,2.518598961830139
1,1,3279,2.8742,95.6,0.61632484,2.518598961830139
1,1,3319,25.328,96.583,25.325584,2.518598961830139
