sample,model,pmid,e.cum,ct,prediction_ecum,running_time
1,9,185,8.2469,165.0,16.338528,4.345085755983988
1,9,194,5.2773,164.5,12.822014,4.345085755983988
1,9,207,14.106,170.33,20.738789,4.345085755983988
1,9,921,14.35,144.75,10.224075,4.345085755983988
1,9,927,8.904,142.0,12.468367,4.345085755983988
1,9,929,2.1039,144.82,8.1501045,4.345085755983988
1,9,948,9.1412,145.25,9.140062,4.345085755983988
1,9,955,3.1902,144.83,9.175691,4.345085755983988
1,9,988,9.6686,165.13,7.2152963,4.345085755983988
1,9,999,13.16,169.75,13.882217,4.345085755983988
1,9,1005,21.328,164.08,7.43556,4.345085755983988
1,9,1007,25.065,167.12,24.623297,4.345085755983988
1,9,1013,12.362,167.63,7.3713713,4.345085755983988
1,9,1136,28.159,168.0,16.003239,4.345085755983988
1,9,1152,4.8586,146.0,6.349137,4.345085755983988
1,9,1155,3.2223,145.83,3.8078597,4.345085755983988
1,9,1192,6.0171,142.75,8.650759,4.345085755983988
1,9,1208,23.914,165.78,12.401399,4.345085755983988
1,9,1209,30.932,165.78,12.401399,4.345085755983988
1,9,1211,17.783,165.02,11.86583,4.345085755983988
1,9,1239,11.817,138.37,9.204233,4.345085755983988
1,9,1243,6.8146,142.1,10.421965,4.345085755983988
1,9,1246,4.8744,139.53,6.9347405,4.345085755983988
1,9,1248,5.6782,138.48,7.013486,4.345085755983988
1,9,1258,11.332,51.883,11.653777,4.345085755983988
1,9,1458,3.4425,49.517,14.0273285,4.345085755983988
1,9,1459,2.1407,50.017,2.9694817,4.345085755983988
1,9,1461,1.0509,47.3,11.179069,4.345085755983988
1,9,1473,0.86263,30.017,2.7591212,4.345085755983988
1,9,1477,5.0489,53.783,19.048992,4.345085755983988
1,9,1506,0.143,176.0,6.380647,4.345085755983988
1,9,1524,5.73409,176.0,19.677528,4.345085755983988
1,9,1532,20.742,171.88,16.201513,4.345085755983988
1,9,1691,30.504,167.97,32.62025,4.345085755983988
1,9,1705,35.546,168.0,34.359074,4.345085755983988
1,9,1706,23.625,168.01,22.690247,4.345085755983988
1,9,1738,10.605,168.16,11.869154,4.345085755983988
1,9,1742,11.044,168.01,12.522268,4.345085755983988
1,9,2234,42.3114327382,129.83,46.650696,4.345085755983988
1,9,2456,11.333,117.7,68.49546,4.345085755983988
1,9,2461,9.9978,138.5,3.0784695,4.345085755983988
1,9,2535,17.503,95.45,28.719221,4.345085755983988
1,9,2539,17.659,96.483,16.432663,4.345085755983988
1,9,2568,26.48,96.6,17.224371,4.345085755983988
1,9,2577,24.085,67.683,49.80566,4.345085755983988
1,9,2578,24.557,68.267,20.31605,4.345085755983988
1,9,2794,9.4585,48.067,10.8685875,4.345085755983988
1,9,2800,3.1987,45.75,4.434549,4.345085755983988
1,9,2812,6.0184,48.25,11.304248,4.345085755983988
1,9,2814,2.3252,47.633,7.3355327,4.345085755983988
1,9,2825,16.299,59.5,8.416817,4.345085755983988
1,9,2847,9.7365,96.05,5.017712,4.345085755983988
1,9,3124,1.1096,94.7,16.062511,4.345085755983988
1,9,3135,1.8015,70.3,9.6499,4.345085755983988
1,9,3153,31.395,94.7,33.60416,4.345085755983988
1,9,3161,89.505,93.7,68.56295,4.345085755983988
1,9,3163,20.785,93.9,35.897846,4.345085755983988
1,9,3173,18.102,96.7,29.229902,4.345085755983988
1,9,3174,17.665,96.417,27.72864,4.345085755983988
1,9,3176,52.44,96.533,89.95071,4.345085755983988
1,9,3184,3.6465,93.5,11.375803,4.345085755983988
1,9,3191,1.4898,95.7,2.5029476,4.345085755983988
1,9,3193,12.154,95.8,21.289293,4.345085755983988
1,9,3195,16.271,92.7,21.119766,4.345085755983988
1,9,3202,6.8662,70.6,5.1892176,4.345085755983988
1,9,3220,10.197,93.6,16.929552,4.345085755983988
1,9,3246,5.417,96.3,4.9104023,4.345085755983988
1,9,3251,9.6454,96.6,10.067247,4.345085755983988
1,9,3252,25.378,96.9,23.050722,4.345085755983988
1,9,3256,6.4701,96.0,12.046235,4.345085755983988
1,9,3259,28.451,95.0,25.024202,4.345085755983988
1,9,3272,30.732,81.4,36.626484,4.345085755983988
1,9,3279,2.8742,95.6,3.5779965,4.345085755983988
1,9,3319,25.328,96.583,21.48885,4.345085755983988
