sample,model,pmid,e.cum,ct,prediction_ecum,running_time
7,12,192,15.513,166.75,17.479631,5.680159445603689
7,12,198,19.481,172.0,6.8728757,5.680159445603689
7,12,201,9.0318,168.25,4.9003606,5.680159445603689
7,12,917,14.853,144.58,12.783948,5.680159445603689
7,12,922,24.246,146.67,36.130028,5.680159445603689
7,12,924,17.267,142.87,16.225916,5.680159445603689
7,12,959,13.232,147.42,15.573134,5.680159445603689
7,12,966,4.5167,144.58,7.3564324,5.680159445603689
7,12,982,31.749,172.58,15.354178,5.680159445603689
7,12,993,7.3221,169.83,15.482305,5.680159445603689
7,12,1006,9.54,168.67,10.176635,5.680159445603689
7,12,1007,25.065,167.12,35.344494,5.680159445603689
7,12,1010,5.6813,167.78,5.119962,5.680159445603689
7,12,1131,24.72,168.0,21.994932,5.680159445603689
7,12,1157,8.987,175.8,18.893496,5.680159445603689
7,12,1161,21.58,167.5,16.00784,5.680159445603689
7,12,1187,22.582,141.42,26.262445,5.680159445603689
7,12,1191,6.3881,143.03,6.8546424,5.680159445603689
7,12,1196,11.227,144.8,14.342547,5.680159445603689
7,12,1207,34.358,164.65,36.263477,5.680159445603689
7,12,1212,9.951,167.17,16.701702,5.680159445603689
7,12,1213,10.986,167.17,16.701702,5.680159445603689
7,12,1233,8.4208,141.25,9.411745,5.680159445603689
7,12,1240,8.2046,140.12,8.051388,5.680159445603689
7,12,1362,16.344,49.9,7.954079,5.680159445603689
7,12,1453,0.97046,24.15,1.1808832,5.680159445603689
7,12,1457,1.3532,26.2,2.8060215,5.680159445603689
7,12,1467,1.4383,48.083,0.70116115,5.680159445603689
7,12,1479,4.9951,47.783,3.6096413,5.680159445603689
7,12,1491,4.4883,43.517,4.186807,5.680159445603689
7,12,1520,19.495,24.0,35.352253,5.680159445603689
7,12,1522,27.32553,97.5,35.391975,5.680159445603689
7,12,1529,14.5,172.38,14.119302,5.680159445603689
7,12,1689,16.416,167.95,21.81406,5.680159445603689
7,12,1694,41.856,167.96,39.489834,5.680159445603689
7,12,1701,42.461,168.09,44.114807,5.680159445603689
7,12,1707,34.223,167.96,28.398798,5.680159445603689
7,12,1748,11.806,167.99,10.686896,5.680159445603689
7,12,2235,39.629723414,129.83,41.004677,5.680159445603689
7,12,2448,17.926,172.07,29.488842,5.680159445603689
7,12,2453,22.776,149.25,17.328434,5.680159445603689
7,12,2544,14.361,45.783,4.3562975,5.680159445603689
7,12,2547,26.193,95.15,10.056618,5.680159445603689
7,12,2552,46.917,96.633,39.22838,5.680159445603689
7,12,2553,28.397,95.933,20.013937,5.680159445603689
7,12,2556,35.599,97.117,33.926903,5.680159445603689
7,12,2579,20.59,68.15,22.81112,5.680159445603689
7,12,2584,22.382,68.933,35.885143,5.680159445603689
7,12,2830,13.099,81.383,14.415198,5.680159445603689
7,12,2839,11.522,80.017,12.7698345,5.680159445603689
7,12,2852,5.6244,45.633,10.472497,5.680159445603689
7,12,2856,11.365,94.833,10.187112,5.680159445603689
7,12,3120,1.7254,95.0,18.442146,5.680159445603689
7,12,3123,0.16181,94.9,28.634932,5.680159445603689
7,12,3144,1.9494,96.5,4.792769,5.680159445603689
7,12,3153,31.395,94.7,23.205269,5.680159445603689
7,12,3158,81.785,92.9,79.52739,5.680159445603689
7,12,3165,32.985,95.5,33.09044,5.680159445603689
7,12,3166,23.978,95.3,33.732677,5.680159445603689
7,12,3168,71.835,95.5,60.266182,5.680159445603689
7,12,3170,6.0754,96.5,0.08044802,5.680159445603689
7,12,3182,15.223,56.5,44.060604,5.680159445603689
7,12,3184,3.6465,93.5,6.8352256,5.680159445603689
7,12,3191,1.4898,95.7,2.241207,5.680159445603689
7,12,3194,3.0147,95.5,1.635659,5.680159445603689
7,12,3195,16.271,92.7,10.366548,5.680159445603689
7,12,3235,29.096,54.4,29.38023,5.680159445603689
7,12,3261,26.439,96.8,22.630548,5.680159445603689
7,12,3272,30.732,81.4,36.37053,5.680159445603689
7,12,3282,8.1076,95.5,24.055328,5.680159445603689
7,12,3283,6.3467,95.0,23.99879,5.680159445603689
7,12,3311,27.488,96.567,32.33132,5.680159445603689
7,12,3313,26.478,96.517,31.90034,5.680159445603689
7,12,3373,20.357,95.3,18.147861,5.680159445603689
